forecast_date,forecast_horizon_hours,pred_window_start_idx,pred_window_timestamps_str,actual_window_start_idx,actual_window_timestamps_str,matching_hours,accuracy_percentage,pred_total_cost,actual_total_cost,cost_difference
2025-02-01,96,92,02-04 21:00; 02-04 22:00; 02-04 23:00; 02-05 00:00,92,02-04 21:00; 02-04 22:00; 02-04 23:00; 02-05 00:00,4,100.0,0.27365290000000003,0.4367000000000001,-0.16304710000000006
2025-02-02,96,71,02-05 00:00; 02-05 01:00; 02-05 02:00; 02-05 03:00,70,02-04 23:00; 02-05 00:00; 02-05 01:00; 02-05 02:00,3,75.0,0.24991679999999988,0.39003,-0.1401132000000001
2025-02-03,96,48,02-05 01:00; 02-05 02:00; 02-05 03:00; 02-05 04:00,46,02-04 23:00; 02-05 00:00; 02-05 01:00; 02-05 02:00,2,50.0,0.23788759999999998,0.39003,-0.1521424
2025-02-04,96,24,02-05 01:00; 02-05 02:00; 02-05 03:00; 02-05 04:00,92,02-07 21:00; 02-07 22:00; 02-07 23:00; 02-08 00:00,0,0.0,0.3011047,0.3459,-0.04479529999999998
2025-02-05,96,59,02-07 12:00; 02-07 13:00; 02-07 14:00; 02-07 15:00,69,02-07 22:00; 02-07 23:00; 02-08 00:00; 02-08 01:00,0,0.0,0.3233467999999999,0.3234,-5.320000000014202e-05
2025-02-06,96,35,02-07 12:00; 02-07 13:00; 02-07 14:00; 02-07 15:00,45,02-07 22:00; 02-07 23:00; 02-08 00:00; 02-08 01:00,0,0.0,0.3553402000000001,0.3234,0.031940200000000085
2025-02-07,96,83,02-10 12:00; 02-10 13:00; 02-10 14:00; 02-10 15:00,21,02-07 22:00; 02-07 23:00; 02-08 00:00; 02-08 01:00,0,0.0,0.3556878,0.3234,0.03228779999999998
2025-02-08,96,59,02-10 12:00; 02-10 13:00; 02-10 14:00; 02-10 15:00,71,02-11 00:00; 02-11 01:00; 02-11 02:00; 02-11 03:00,0,0.0,0.33001179999999997,0.27982999999999997,0.0501818
2025-02-09,96,35,02-10 12:00; 02-10 13:00; 02-10 14:00; 02-10 15:00,47,02-11 00:00; 02-11 01:00; 02-11 02:00; 02-11 03:00,0,0.0,0.35190720000000014,0.27982999999999997,0.07207720000000017
2025-02-10,96,11,02-10 12:00; 02-10 13:00; 02-10 14:00; 02-10 15:00,23,02-11 00:00; 02-11 01:00; 02-11 02:00; 02-11 03:00,0,0.0,0.35243959999999996,0.27982999999999997,0.0726096
2025-02-11,96,0,02-11 01:00; 02-11 02:00; 02-11 03:00; 02-11 04:00,0,02-11 01:00; 02-11 02:00; 02-11 03:00; 02-11 04:00,4,100.0,0.3695611,0.29433,0.0752311
2025-02-12,96,73,02-15 02:00; 02-15 03:00; 02-15 04:00; 02-15 05:00,82,02-15 11:00; 02-15 12:00; 02-15 13:00; 02-15 14:00,0,0.0,0.4512262000000003,0.4554,-0.004173799999999728
2025-02-13,96,84,02-16 13:00; 02-16 14:00; 02-16 15:00; 02-16 16:00,58,02-15 11:00; 02-15 12:00; 02-15 13:00; 02-15 14:00,0,0.0,0.3506232,0.4554,-0.1047768
2025-02-14,96,59,02-16 12:00; 02-16 13:00; 02-16 14:00; 02-16 15:00,82,02-17 11:00; 02-17 12:00; 02-17 13:00; 02-17 14:00,0,0.0,0.3454052999999999,0.44528,-0.0998747000000001
2025-02-15,96,33,02-16 10:00; 02-16 11:00; 02-16 12:00; 02-16 13:00,83,02-18 12:00; 02-18 13:00; 02-18 14:00; 02-18 15:00,0,0.0,0.40136610000000017,0.39288999999999996,0.008476100000000208
2025-02-16,96,49,02-18 02:00; 02-18 03:00; 02-18 04:00; 02-18 05:00,82,02-19 11:00; 02-19 12:00; 02-19 13:00; 02-19 14:00,0,0.0,0.3754522,0.30672,0.06873220000000002
2025-02-17,96,91,02-20 20:00; 02-20 21:00; 02-20 22:00; 02-20 23:00,58,02-19 11:00; 02-19 12:00; 02-19 13:00; 02-19 14:00,0,0.0,0.3316597,0.30672,0.02493970000000001
2025-02-18,96,84,02-21 13:00; 02-21 14:00; 02-21 15:00; 02-21 16:00,92,02-21 21:00; 02-21 22:00; 02-21 23:00; 02-22 00:00,0,0.0,0.29920750000000007,0.26214000000000004,0.03706750000000003
2025-02-19,96,83,02-22 12:00; 02-22 13:00; 02-22 14:00; 02-22 15:00,72,02-22 01:00; 02-22 02:00; 02-22 03:00; 02-22 04:00,0,0.0,0.2589160999999999,0.17798999999999998,0.08092609999999995
2025-02-20,96,83,02-23 12:00; 02-23 13:00; 02-23 14:00; 02-23 15:00,83,02-23 12:00; 02-23 13:00; 02-23 14:00; 02-23 15:00,4,100.0,0.23501399999999995,0.15776,0.07725399999999993
2025-02-21,96,82,02-24 11:00; 02-24 12:00; 02-24 13:00; 02-24 14:00,73,02-24 02:00; 02-24 03:00; 02-24 04:00; 02-24 05:00,0,0.0,0.26423589999999986,0.031039999999999998,0.23319589999999984
2025-02-22,96,58,02-24 11:00; 02-24 12:00; 02-24 13:00; 02-24 14:00,49,02-24 02:00; 02-24 03:00; 02-24 04:00; 02-24 05:00,0,0.0,0.2565109999999998,0.031039999999999998,0.2254709999999998
2025-02-23,96,26,02-24 03:00; 02-24 04:00; 02-24 05:00; 02-24 06:00,25,02-24 02:00; 02-24 03:00; 02-24 04:00; 02-24 05:00,3,75.0,0.28168069999999995,0.031039999999999998,0.25064069999999994
2025-02-24,96,0,02-24 01:00; 02-24 02:00; 02-24 03:00; 02-24 04:00,1,02-24 02:00; 02-24 03:00; 02-24 04:00; 02-24 05:00,3,75.0,0.1454725999999999,0.031039999999999998,0.1144325999999999
2025-02-25,96,82,02-28 11:00; 02-28 12:00; 02-28 13:00; 02-28 14:00,34,02-26 11:00; 02-26 12:00; 02-26 13:00; 02-26 14:00,0,0.0,0.31689080000000003,0.35169,-0.034799199999999975
2025-02-26,96,48,02-28 01:00; 02-28 02:00; 02-28 03:00; 02-28 04:00,10,02-26 11:00; 02-26 12:00; 02-26 13:00; 02-26 14:00,0,0.0,0.2998626999999999,0.35169,-0.051827300000000076
2025-02-27,96,25,02-28 02:00; 02-28 03:00; 02-28 04:00; 02-28 05:00,82,03-02 11:00; 03-02 12:00; 03-02 13:00; 03-02 14:00,0,0.0,0.3343785000000001,0.06964,0.2647385000000001
2025-02-28,96,10,02-28 11:00; 02-28 12:00; 02-28 13:00; 02-28 14:00,82,03-03 11:00; 03-03 12:00; 03-03 13:00; 03-03 14:00,0,0.0,0.36294079999999995,0.06544,0.29750079999999995
