,Load,Price,Flow_BE_to_NL,Flow_NL_to_BE,Flow_DE_to_NL,Flow_NL_to_DE,Flow_GB_to_NL,Flow_NL_to_GB,Flow_DK_to_NL,Flow_NL_to_DK,Flow_NO_to_NL,Flow_NL_to_NO
2021-12-31 23:00:00+00:00,10374.0,124.7,0.0,620.0,1419.5,738.25,0.0,633.0,619.0,0.0,0.0,720.0
2022-01-01 00:00:00+00:00,10249.75,124.7,0.0,728.0,1314.0,425.5,0.0,591.0,582.0,0.0,0.0,680.0
2022-01-01 01:00:00+00:00,9907.0,134.0,0.0,1070.0,1092.0,281.75,0.0,456.0,552.0,0.0,0.0,151.0
2022-01-01 02:00:00+00:00,9782.5,58.8,0.0,344.0,1372.5,849.25,412.0,0.0,237.0,0.0,0.0,716.0
2022-01-01 03:00:00+00:00,9589.75,37.67,0.0,154.0,1533.5,1067.75,795.0,0.0,0.0,360.0,0.0,730.0
2022-01-01 04:00:00+00:00,9508.0,39.7,352.0,0.0,1254.25,1323.0,994.0,0.0,0.0,389.0,0.0,730.0
2022-01-01 05:00:00+00:00,9690.75,40.59,696.0,0.0,1350.75,1312.0,995.0,0.0,0.0,459.0,0.0,730.0
2022-01-01 06:00:00+00:00,9921.75,43.26,868.0,0.0,1547.75,1253.0,995.0,0.0,0.0,661.0,0.0,730.0
2022-01-01 07:00:00+00:00,10158.25,49.66,1549.0,0.0,1334.5,1384.75,995.0,0.0,0.0,698.0,0.0,730.0
2022-01-01 08:00:00+00:00,10361.5,70.05,2040.0,0.0,1297.75,1922.75,995.0,0.0,0.0,696.0,0.0,730.0
2022-01-01 09:00:00+00:00,10663.0,76.79,2033.0,0.0,1097.75,1886.5,995.0,0.0,0.0,651.0,0.0,730.0
2022-01-01 10:00:00+00:00,10668.75,84.1,2328.0,0.0,883.0,2352.75,705.0,0.0,0.0,695.0,0.0,730.0
2022-01-01 11:00:00+00:00,10542.0,94.74,2115.0,0.0,1106.75,1981.25,0.0,265.0,0.0,698.0,0.0,730.0
2022-01-01 12:00:00+00:00,10736.25,96.8,1989.0,0.0,1074.25,2377.75,211.0,0.0,0.0,696.0,0.0,730.0
2022-01-01 13:00:00+00:00,11002.0,97.17,1786.0,0.0,1138.5,2262.0,388.0,0.0,0.0,641.0,0.0,730.0
2022-01-01 14:00:00+00:00,11387.25,101.27,1947.0,0.0,1302.0,1848.75,119.0,0.0,0.0,697.0,0.0,723.0
2022-01-01 15:00:00+00:00,11854.25,126.6,1674.0,0.0,1451.5,1457.75,0.0,163.0,0.0,697.0,0.0,540.0
2022-01-01 16:00:00+00:00,12874.25,149.97,1267.0,0.0,1402.0,1491.75,92.0,0.0,0.0,695.0,36.0,3.0
2022-01-01 17:00:00+00:00,12940.0,146.33,922.0,0.0,1628.25,976.5,0.0,516.0,0.0,613.0,90.0,0.0
2022-01-01 18:00:00+00:00,12594.25,140.28,935.0,0.0,1412.0,1129.75,0.0,576.0,7.0,63.0,0.0,204.0
2022-01-01 19:00:00+00:00,12135.5,121.88,895.0,0.0,1391.0,969.5,0.0,658.0,481.0,0.0,0.0,703.0
2022-01-01 20:00:00+00:00,11605.75,102.61,938.0,0.0,1419.75,1081.25,0.0,398.0,545.0,0.0,0.0,650.0
2022-01-01 21:00:00+00:00,11167.0,97.46,663.0,0.0,1357.5,748.25,0.0,889.0,696.0,0.0,0.0,592.0
2022-01-01 22:00:00+00:00,10655.25,85.16,292.0,0.0,1291.5,1160.75,42.0,562.0,694.0,0.0,0.0,656.0
2022-01-01 23:00:00+00:00,10353.75,57.08,10.0,56.0,1535.75,1750.5,598.25,0.0,444.0,0.0,0.0,731.0
2022-01-02 00:00:00+00:00,9981.5,52.59,0.0,610.0,1632.75,1419.5,194.0,0.0,423.0,0.0,0.0,731.0
2022-01-02 01:00:00+00:00,9701.0,48.97,14.0,85.0,1595.75,1645.0,0.0,190.5,219.0,0.0,0.0,731.0
2022-01-02 02:00:00+00:00,9585.0,34.94,20.0,18.0,1671.75,1686.0,410.75,0.0,0.0,478.0,0.0,731.0
2022-01-02 03:00:00+00:00,9559.75,29.56,428.0,0.0,1540.5,1994.0,522.25,0.0,0.0,662.0,0.0,731.0
2022-01-02 04:00:00+00:00,9676.0,33.97,705.0,0.0,1514.25,2284.25,655.75,0.0,0.0,698.0,0.0,731.0
2022-01-02 05:00:00+00:00,9976.5,34.52,703.0,0.0,1468.75,2302.25,1021.75,0.0,0.0,698.0,0.0,731.0
2022-01-02 06:00:00+00:00,10409.75,41.8,698.0,0.0,1533.25,1997.75,815.25,0.0,0.0,698.0,0.0,731.0
2022-01-02 07:00:00+00:00,11034.0,48.95,898.0,0.0,1415.0,1444.75,539.25,0.0,0.0,697.0,0.0,731.0
2022-01-02 08:00:00+00:00,11573.25,60.01,846.0,0.0,1265.5,1074.75,438.5,0.0,0.0,698.0,0.0,731.0
2022-01-02 09:00:00+00:00,11592.5,70.09,1287.0,0.0,1458.25,983.0,0.0,458.25,0.0,697.0,0.0,731.0
2022-01-02 10:00:00+00:00,11883.25,66.26,1357.0,0.0,1550.25,929.0,0.0,570.5,0.0,684.0,0.0,731.0
2022-01-02 11:00:00+00:00,12182.25,64.54,1046.0,0.0,1526.5,856.0,0.0,658.25,0.0,390.0,0.0,731.0
2022-01-02 12:00:00+00:00,11961.75,46.96,1182.0,0.0,1584.5,770.25,0.0,1045.0,0.0,454.0,0.0,731.0
2022-01-02 13:00:00+00:00,11923.25,49.06,1380.0,0.0,1387.0,991.75,0.0,1064.25,125.0,0.0,0.0,731.0
2022-01-02 14:00:00+00:00,12194.25,74.99,2030.0,0.0,1531.5,1229.25,0.0,1014.5,3.0,12.0,0.0,731.0
2022-01-02 15:00:00+00:00,12666.5,85.0,2278.0,0.0,1575.0,1340.0,0.0,647.0,13.0,9.0,0.0,731.0
2022-01-02 16:00:00+00:00,13775.25,100.0,2217.0,0.0,1590.25,869.75,0.0,983.75,557.0,0.0,0.0,731.0
2022-01-02 17:00:00+00:00,13656.0,109.9,1462.0,0.0,1550.25,584.75,0.0,1030.0,632.0,0.0,0.0,731.0
2022-01-02 18:00:00+00:00,13246.25,99.9,1250.0,0.0,1469.75,429.25,0.0,827.75,698.0,0.0,0.0,731.0
2022-01-02 19:00:00+00:00,12803.0,77.0,1354.0,0.0,1362.75,465.5,0.0,962.0,696.0,0.0,0.0,730.0
2022-01-02 20:00:00+00:00,12275.0,46.16,1516.0,0.0,1227.25,655.0,0.0,984.75,543.0,0.0,0.0,731.0
2022-01-02 21:00:00+00:00,11838.75,46.29,1364.0,0.0,1115.75,825.0,40.5,592.0,70.0,13.0,0.0,731.0
2022-01-02 22:00:00+00:00,11242.75,32.93,530.0,0.0,1209.5,1067.25,600.5,0.0,0.0,638.0,0.0,731.0
2022-01-02 23:00:00+00:00,10812.25,0.31,213.0,0.0,1410.25,962.5,150.25,0.0,0.0,697.0,0.0,730.0
2022-01-03 00:00:00+00:00,10410.75,-0.01,346.0,0.0,1385.0,745.25,0.0,0.75,0.0,697.0,0.0,700.0
2022-01-03 01:00:00+00:00,10229.75,-0.07,773.0,0.0,1325.25,1095.5,0.0,348.5,0.0,697.0,0.0,525.0
2022-01-03 02:00:00+00:00,10141.0,-1.05,696.0,0.0,1335.75,1112.0,0.0,96.75,0.0,697.0,0.0,606.0
2022-01-03 03:00:00+00:00,10159.0,-1.0,583.0,0.0,1435.5,1828.25,673.75,0.0,0.0,697.0,0.0,703.0
2022-01-03 04:00:00+00:00,10708.75,0.0,271.0,0.0,1721.25,1644.5,825.75,0.0,0.0,697.0,0.0,690.0
2022-01-03 05:00:00+00:00,11695.5,35.97,915.0,0.0,1427.5,1888.5,999.0,0.0,0.0,674.0,0.0,146.0
2022-01-03 06:00:00+00:00,12879.5,90.34,884.0,0.0,1471.25,1259.75,1043.0,0.0,0.0,155.0,0.0,620.0
2022-01-03 07:00:00+00:00,14048.75,120.0,0.0,22.0,1637.5,9.0,1043.75,0.0,3.0,114.0,0.0,367.0
2022-01-03 08:00:00+00:00,14521.5,129.9,0.0,513.0,1855.5,0.0,636.0,0.0,368.0,0.0,157.0,0.0
2022-01-03 09:00:00+00:00,14338.25,119.04,315.0,0.0,882.5,203.25,730.75,0.0,472.0,0.0,0.0,121.0
2022-01-03 10:00:00+00:00,13899.0,119.19,302.0,0.0,1032.0,470.5,90.25,4.5,489.0,0.0,0.0,136.0
2022-01-03 11:00:00+00:00,13921.75,120.0,25.0,14.0,855.0,469.75,0.0,300.5,490.0,0.0,364.0,0.0
2022-01-03 12:00:00+00:00,14043.5,122.62,59.0,0.0,867.0,406.0,0.0,346.25,490.0,0.0,279.0,0.0
2022-01-03 13:00:00+00:00,14282.25,138.18,52.0,55.0,884.5,339.25,0.0,0.5,490.0,0.0,312.0,0.0
2022-01-03 14:00:00+00:00,14621.75,143.1,302.0,0.0,761.75,133.0,0.0,150.5,490.0,0.0,479.0,0.0
2022-01-03 15:00:00+00:00,15076.5,136.0,397.0,0.0,995.5,0.0,0.0,288.0,490.0,0.0,183.0,0.0
2022-01-03 16:00:00+00:00,15960.25,148.49,0.0,502.0,1354.75,0.0,0.0,500.0,490.0,0.0,493.0,0.0
2022-01-03 17:00:00+00:00,15350.0,214.0,0.0,1027.0,1143.0,0.0,0.0,800.0,490.0,0.0,494.0,0.0
2022-01-03 18:00:00+00:00,14668.75,192.0,0.0,1077.0,949.75,0.0,0.0,799.25,490.0,0.0,495.0,0.0
2022-01-03 19:00:00+00:00,13912.75,149.8,0.0,828.0,1456.5,0.0,0.0,988.25,495.0,0.0,503.0,0.0
2022-01-03 20:00:00+00:00,13203.75,144.22,0.0,743.0,1474.0,0.0,0.0,1044.0,695.0,0.0,705.0,0.0
2022-01-03 21:00:00+00:00,12475.25,130.0,0.0,718.0,1536.25,0.0,0.0,1022.5,700.0,0.0,705.0,0.0
2022-01-03 22:00:00+00:00,11819.0,110.0,0.0,811.0,1474.5,0.0,0.0,753.5,677.0,0.0,686.0,0.0
2022-01-03 23:00:00+00:00,11200.5,194.9,0.0,1283.0,1515.0,0.0,0.0,287.25,688.0,0.0,350.0,0.0
2022-01-04 00:00:00+00:00,10927.25,137.25,0.0,563.0,1138.75,0.0,0.0,598.25,525.0,0.0,702.0,0.0
2022-01-04 01:00:00+00:00,10710.75,137.2,207.0,14.0,588.0,214.75,0.0,569.75,580.0,0.0,693.0,0.0
