@id,@type,id,point,type,granularity,granularitytimezone,activity,classification,capacity,volume,percentage,emission,emissionfactor,validfrom,validto,lastupdate
/v1/utilizations/67726826069,Utilization,67726826069,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,1296000,1296000,0,513216,0.3959999978542328,2024-12-30T23:00:00+00:00,2024-12-31T00:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67727202047,Utilization,67727202047,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,972500,972500,0,385110,0.3959999978542328,2024-12-31T00:00:00+00:00,2024-12-31T01:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67727504789,Utilization,67727504789,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,971250,971250,0,384615,0.3959999978542328,2024-12-31T01:00:00+00:00,2024-12-31T02:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67727900388,Utilization,67727900388,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,1014250,1014250,0,401643,0.3959999978542328,2024-12-31T02:00:00+00:00,2024-12-31T03:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67728261208,Utilization,67728261208,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,1045750,1045750,0,414117,0.3959999978542328,2024-12-31T03:00:00+00:00,2024-12-31T04:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67728615071,Utilization,67728615071,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,1079750,1079750,0,427581,0.3959999978542328,2024-12-31T04:00:00+00:00,2024-12-31T05:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67728979385,Utilization,67728979385,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,1243000,1243000,0,492228,0.3959999978542328,2024-12-31T05:00:00+00:00,2024-12-31T06:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67729426446,Utilization,67729426446,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,1386500,1386500,0,549054,0.3959999978542328,2024-12-31T06:00:00+00:00,2024-12-31T07:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67731513692,Utilization,67731513692,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,1522750,1522750,0,603009,0.3959999978542328,2024-12-31T07:00:00+00:00,2024-12-31T08:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67731835839,Utilization,67731835839,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,2021750,2021750,0,800613,0.3959999978542328,2024-12-31T08:00:00+00:00,2024-12-31T09:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67732263531,Utilization,67732263531,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,2065750,2065750,0,818037,0.3959999978542328,2024-12-31T09:00:00+00:00,2024-12-31T10:00:00+00:00,2025-04-13T06:28:49+00:00
/v1/utilizations/67732636492,Utilization,67732636492,/v1/points/0,/v1/types/18,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,2071000,2071000,0,820116,0.3959999978542328,2024-12-31T10:00:00+00:00,2024-12-31T11:00:00+00:00,2025-04-13T06:28:49+00:00
