validto,capacity_0_x,volume_0_x,capacity_1_x,production_wind_x,capacity_2_x,production_solar_x,capacity_4_x,production_heatpump_x,capacity_8_x,production_cofiring_x,capacity_9_x,production_geothermal_x,capacity_10_x,production_other_x,capacity_11_x,production_waste_x,capacity_12_x,production_biooil_x,capacity_13_x,production_biomass_x,capacity_14_x,production_wood_x,capacity_18_x,production_fossilgaspower_x,capacity_19_x,production_fossilhardcoal_x,capacity_0_y,volume_0_y,capacity_1_y,production_wind_y,capacity_2_y,production_solar_y,capacity_3,production_biogas,capacity_4_y,production_heatpump_y,capacity_8_y,production_cofiring_y,capacity_9_y,production_geothermal_y,capacity_10_y,production_other_y,capacity_11_y,production_waste_y,capacity_12_y,production_biooil_y,capacity_13_y,production_biomass_y,capacity_14_y,production_wood_y,capacity_17,production_windoffshore,capacity_18_y,production_fossilgaspower_y,capacity_19_y,production_fossilhardcoal_y,capacity_20,production_nuclear,capacity_21,production_wastepower,capacity_22,production_windoffshoreB,capacity_24,production_biomethane,capacity_25,production_biomasspower,capacity_26,production_otherpower,capacity_27,production_electricitymix,capacity_28,production_electricitymix.1,capacity_35,production_CHP_total,capacity_50,production_solarthermal,capacity_51,production_industrialconsumersgascombination
2024-12-31 00:00:00+00:00,13338465,13338465,4775170,4775170,0,0,1214760,1214760,600351,600351,239380,239380,10002,10002,577910,577910,841998,841998,593879.0,593879.0,593611,593611,1296000,1296000,266111,266111,13338465,13338465,4775170,4775170,0,0,399852,399852,1214760,1214760,600351,600351,239380,239380,10002,10002,577910,577910,841998,841998,593879,593879,593611,593611,3679194,3679194,1296000,1296000,266111,266111,487000,487000,363126,363126,3491250,3491250,370572,370572,81389,81389,221000,221000,12448833,12448833,12937043,12937043,1467787,1467787,302,302,3491250,3491250
2024-12-31 01:00:00+00:00,13341805,13341805,4502639,4502639,0,0,1388479,1388479,600339,600339,239314,239314,10002,10002,577804,577804,841998,841998,593770.0,593770.0,557328,557328,972500,972500,236436,236436,13341805,13341805,4502639,4502639,0,0,399856,399856,1388479,1388479,600339,600339,239314,239314,10002,10002,577804,577804,841998,841998,593770,593770,557328,557328,3771344,3771344,972500,972500,236436,236436,487000,487000,356876,356876,3630000,3630000,373102,373102,72314,72314,221000,221000,11866642,11866642,13013208,13013208,1387877,1387877,276,276,3630000,3630000
2024-12-31 02:00:00+00:00,13260299,13260299,4321732,4321732,0,0,1561872,1561872,600327,600327,239265,239265,10002,10002,577722,577722,841998,841998,593685.0,593685.0,560535,560535,971250,971250,216336,216336,13260299,13260299,4321732,4321732,0,0,399858,399858,1561872,1561872,600327,600327,239265,239265,10002,10002,577722,577722,841998,841998,593685,593685,560535,560535,3884976,3884976,971250,971250,216336,216336,487000,487000,360000,360000,3553000,3553000,361372,361372,66164,66164,221000,221000,11576365,11576365,13037507,13037507,1379883,1379883,303,303,3553000,3553000
2024-12-31 03:00:00+00:00,13577302,13577302,4385153,4385153,0,0,1678525,1678525,600316,600316,239232,239232,10002,10002,577665,577665,841998,841998,593631.0,593631.0,587110,587110,1014250,1014250,214804,214804,13577302,13577302,4385153,4385153,0,0,399864,399864,1678525,1678525,600316,600316,239232,239232,10002,10002,577665,577665,841998,841998,593631,593631,587110,587110,3946230,3946230,1014250,1014250,214804,214804,487000,487000,357000,357000,3663500,3663500,352647,352647,65696,65696,221000,221000,11827212,11827212,13061187,13061187,1418809,1418809,306,306,3663500,3663500
2024-12-31 04:00:00+00:00,14103177,14103177,4744022,4744022,0,0,1751863,1751863,600305,600305,239213,239213,10002,10002,577631,577631,841998,841998,593597.0,593597.0,640646,640646,1045750,1045750,216335,216335,14103177,14103177,4744022,4744022,0,0,399866,399866,1751863,1751863,600305,600305,239213,239213,10002,10002,577631,577631,841998,841998,593597,593597,640646,640646,4064769,4064769,1045750,1045750,216335,216335,487000,487000,355750,355750,3703750,3703750,351764,351764,66165,66165,221000,221000,12325837,12325837,13009018,13009018,1486065,1486065,284,284,3703750,3703750
2024-12-31 05:00:00+00:00,14794328,14794328,5163814,5163814,0,0,1850302,1850302,600293,600293,239204,239204,10002,10002,577614,577614,841998,841998,593580.0,593580.0,767058,767058,1079750,1079750,215760,215760,14794328,14794328,5163814,5163814,0,0,399870,399870,1850302,1850302,600293,600293,239204,239204,10002,10002,577614,577614,841998,841998,593580,593580,767058,767058,4113004,4113004,1079750,1079750,215760,215760,487000,487000,360876,360876,3750250,3750250,367592,367592,65990,65990,221000,221000,12965167,12965167,12973373,12973373,1620726,1620726,342,342,3750251,3750251
2024-12-31 06:00:00+00:00,15293654,15293654,5241681,5241681,0,0,2029035,2029035,600282,600282,239202,239202,10002,10002,577609,577609,841998,841998,593574.0,593574.0,1033585,1033585,1243000,1243000,214804,214804,15293654,15293654,5241681,5241681,0,0,399875,399875,2029035,2029035,600282,600282,239202,239202,10002,10002,577609,577609,841998,841998,593574,593574,1033585,1033585,4048708,4048708,1243000,1243000,214804,214804,486000,486000,356376,356376,3726500,3726500,360852,360852,65696,65696,221000,221000,13444810,13444810,12814199,12814199,1889753,1889753,311,311,3726500,3726500
2024-12-31 07:00:00+00:00,15987538,15987538,5268663,5268663,0,0,2292047,2292047,600271,600271,239225,239225,10002,10002,577639,577639,841998,841998,593605.0,593605.0,1376465,1376465,1386500,1386500,264963,264963,15987538,15987538,5268663,5268663,0,0,399877,399877,2292047,2292047,600271,600271,239225,239225,10002,10002,577639,577639,841998,841998,593605,593605,1376465,1376465,3972006,3972006,1386500,1386500,264963,264963,486000,486000,349376,349376,3787500,3787500,357359,357359,81037,81037,221000,221000,13972068,13972068,12815425,12815425,2127029,2127029,246,246,3787500,3787500
2024-12-31 08:00:00+00:00,16730845,16730845,5559499,5559499,2447,2447,2494816,2494816,600259,600259,239253,239253,10002,10002,577679,577679,841998,841998,593645.0,593645.0,1558111,1558111,1522750,1522750,298658,298658,16730845,16730845,5559499,5559499,2447,2447,399882,399882,2494816,2494816,600259,600259,239253,239253,10002,10002,577679,577679,841998,841998,593645,593645,1558111,1558111,4035095,4035095,1522750,1522750,298658,298658,486000,486000,346876,346876,3853000,3853000,356402,356402,91342,91342,221000,221000,14788659,14788659,12809647,12809647,2407087,2407087,254,254,3853000,3853000
2024-12-31 09:00:00+00:00,17127186,17127186,5773010,5773010,143035,143035,2469157,2469157,600248,600248,239280,239280,10002,10002,577723,577723,841998,841998,593683.0,593683.0,1544487,1544487,2021750,2021750,302295,302295,17127186,17127186,5773010,5773010,143035,143035,399886,399886,2469157,2469157,600248,600248,239280,239280,10002,10002,577723,577723,841998,841998,593683,593683,1544487,1544487,4123518,4123518,2021750,2021750,302295,302295,487000,487000,344000,344000,3933000,3933000,366704,366704,92455,92455,221000,221000,15861429,15861429,12814388,12814388,2543884,2543884,1677,1677,3933000,3933000
