validto,capacity_0,volume_0,capacity_1,production_wind,capacity_2,production_solar,capacity_4,production_heatpump,capacity_8,production_cofiring,capacity_9,production_geothermal,capacity_10,production_other,capacity_11,production_waste,capacity_12,production_biooil,capacity_13,production_biomass,capacity_14,production_wood,capacity_18,production_fossilgaspower,capacity_19,production_fossilhardcoal
2024-12-31 00:00:00+00:00,13338465,13338465,4775170,4775170,0,0,1214760,1214760,600351,600351,239380,239380,10002,10002,577910,577910,841998,841998,593879.0,593879.0,593611,593611,1296000,1296000,266111,266111
2024-12-31 01:00:00+00:00,13341805,13341805,4502639,4502639,0,0,1388479,1388479,600339,600339,239314,239314,10002,10002,577804,577804,841998,841998,593770.0,593770.0,557328,557328,972500,972500,236436,236436
2024-12-31 02:00:00+00:00,13260299,13260299,4321732,4321732,0,0,1561872,1561872,600327,600327,239265,239265,10002,10002,577722,577722,841998,841998,593685.0,593685.0,560535,560535,971250,971250,216336,216336
2024-12-31 03:00:00+00:00,13577302,13577302,4385153,4385153,0,0,1678525,1678525,600316,600316,239232,239232,10002,10002,577665,577665,841998,841998,593631.0,593631.0,587110,587110,1014250,1014250,214804,214804
2024-12-31 04:00:00+00:00,14103177,14103177,4744022,4744022,0,0,1751863,1751863,600305,600305,239213,239213,10002,10002,577631,577631,841998,841998,593597.0,593597.0,640646,640646,1045750,1045750,216335,216335
2024-12-31 05:00:00+00:00,14794328,14794328,5163814,5163814,0,0,1850302,1850302,600293,600293,239204,239204,10002,10002,577614,577614,841998,841998,593580.0,593580.0,767058,767058,1079750,1079750,215760,215760
2024-12-31 06:00:00+00:00,15293654,15293654,5241681,5241681,0,0,2029035,2029035,600282,600282,239202,239202,10002,10002,577609,577609,841998,841998,593574.0,593574.0,1033585,1033585,1243000,1243000,214804,214804
2024-12-31 07:00:00+00:00,15987538,15987538,5268663,5268663,0,0,2292047,2292047,600271,600271,239225,239225,10002,10002,577639,577639,841998,841998,593605.0,593605.0,1376465,1376465,1386500,1386500,264963,264963
2024-12-31 08:00:00+00:00,16730845,16730845,5559499,5559499,2447,2447,2494816,2494816,600259,600259,239253,239253,10002,10002,577679,577679,841998,841998,593645.0,593645.0,1558111,1558111,1522750,1522750,298658,298658
2024-12-31 09:00:00+00:00,17127186,17127186,5773010,5773010,143035,143035,2469157,2469157,600248,600248,239280,239280,10002,10002,577723,577723,841998,841998,593683.0,593683.0,1544487,1544487,2021750,2021750,302295,302295
2024-12-31 10:00:00+00:00,17523919,17523919,5864521,5864521,669984,669984,2297833,2297833,600237,600237,239311,239311,10002,10002,577768,577768,841998,841998,593733.0,593733.0,1464536,1464536,2065750,2065750,298465,298465
2024-12-31 11:00:00+00:00,17964471,17964471,6032500,6032500,1352506,1352506,2017521,2017521,600225,600225,239349,239349,10002,10002,577823,577823,841998,841998,593789.0,593789.0,1348468,1348468,2071000,2071000,299422,299422
2024-12-31 12:00:00+00:00,18080710,18080710,6105026,6105026,1861429,1861429,1671036,1671036,600213,600213,239398,239398,10002,10002,577896,577896,841998,841998,593862.0,593862.0,1230618,1230618,2028500,2028500,309379,309379
2024-12-31 13:00:00+00:00,17647174,17647174,6078582,6078582,1917111,1917111,1315507,1315507,600203,600203,239405,239405,10002,10002,577905,577905,841998,841998,593871.0,593871.0,1098530,1098530,1901250,1901250,351880,351880
2024-12-31 14:00:00+00:00,16624080,16624080,6024237,6024237,1381429,1381429,994028,994028,600191,600191,239385,239385,10002,10002,577869,577869,841998,841998,593835.0,593835.0,1001585,1001585,1750500,1750500,297317,297317
2024-12-31 15:00:00+00:00,16093864,16093864,6150914,6150914,909985,909985,803816,803816,600179,600179,239365,239365,10002,10002,577830,577830,841998,841998,593796.0,593796.0,1014927,1014927,1515250,1515250,259219,259219
2024-12-31 16:00:00+00:00,15692824,15692824,6256034,6256034,204789,204789,939112,939112,600169,600169,239326,239326,10002,10002,577767,577767,841998,841998,593733.0,593733.0,1095971,1095971,1578750,1578750,217483,217483
2024-12-31 17:00:00+00:00,15682517,15682517,6277761,6277761,0,0,1029297,1029297,600157,600157,239274,239274,10002,10002,577681,577681,841998,841998,593644.0,593644.0,1186436,1186436,1800000,1800000,225907,225907
2024-12-31 18:00:00+00:00,15694667,15694667,6328597,6328597,0,0,1005949,1005949,600145,600145,239212,239212,10002,10002,577582,577582,841998,841998,593542.0,593542.0,1191444,1191444,1591250,1591250,229162,229162
2024-12-31 19:00:00+00:00,15441356,15441356,6375458,6375458,0,0,1001481,1001481,600135,600135,239142,239142,10002,10002,577468,577468,841998,841998,593428.0,593428.0,1091073,1091073,1226000,1226000,229163,229163
2024-12-31 20:00:00+00:00,15390012,15390012,6448966,6448966,0,0,985098,985098,600123,600123,239079,239079,10002,10002,577367,577367,841998,841998,593323.0,593323.0,975912,975912,972500,972500,229545,229545
2024-12-31 21:00:00+00:00,15298923,15298923,6472458,6472458,0,0,973579,973579,600111,600111,239007,239007,10002,10002,577251,577251,841998,841998,593204.0,593204.0,846632,846632,932250,932250,229736,229736
2024-12-31 22:00:00+00:00,15150733,15150733,6486790,6486790,0,0,1005140,1005140,600100,600100,238950,238950,10002,10002,577156,577156,841998,841998,593104.0,593104.0,710569,710569,923750,923750,229737,229737
2024-12-31 23:00:00+00:00,15169196,15169196,6499171,6499171,0,0,1085576,1085576,600089,600089,238884,238884,10002,10002,577049,577049,841998,841998,592992.0,592992.0,603966,603966,825500,825500,229354,229354
2025-01-01 00:00:00+00:00,14948392,14948392,6519520,6519520,0,0,1190353,1190353,600077,600077,238792,238792,10002,10002,576902,576902,841998,841998,592844.0,592844.0,524503,524503,803500,803500,234522,234522
2025-01-01 01:00:00+00:00,14083525,14083525,5917659,5917659,0,0,1351367,1351367,600066,600066,238666,238666,10002,10002,576702,576702,841998,841998,592638.0,592638.0,443488,443488,775500,775500,216717,216717
2025-01-01 02:00:00+00:00,13552034,13552034,4994553,4994553,0,0,1505873,1505873,600055,600055,238507,238507,10002,10002,576450,576450,841998,841998,592380.0,592380.0,415278,415278,820250,820250,218249,218249
2025-01-01 03:00:00+00:00,13655229,13655229,4990896,4990896,0,0,1579032,1579032,600043,600043,238333,238333,10002,10002,576172,576172,841998,841998,592092.0,592092.0,411835,411835,773000,773000,217101,217101
2025-01-01 04:00:00+00:00,13538396,13538396,4988425,4988425,0,0,1696828,1696828,600032,600032,238167,238167,10002,10002,575909,575909,841998,841998,591824.0,591824.0,439914,439914,803500,803500,211357,211357
2025-01-01 05:00:00+00:00,13290565,13290565,4995848,4995848,0,0,1808123,1808123,600021,600021,238003,238003,10002,10002,575647,575647,841998,841998,591555.0,591555.0,514793,514793,787000,787000,217292,217292
2025-01-01 06:00:00+00:00,13771204,13771204,5000998,5000998,0,0,1999930,1999930,600009,600009,237807,237807,10002,10002,575337,575337,841998,841998,591235.0,591235.0,687720,687720,775250,775250,214230,214230
2025-01-01 07:00:00+00:00,14670660,14670660,5545243,5545243,0,0,2280402,2280402,599997,599997,237624,237624,10002,10002,575046,575046,841998,841998,590938.0,590938.0,897846,897846,773500,773500,216718,216718
2025-01-01 08:00:00+00:00,14318855,14318855,5000109,5000109,1217,1217,2493792,2493792,599987,599987,237453,237453,10002,10002,574776,574776,841998,841998,590659.0,590659.0,1002261,1002261,774500,774500,214995,214995
2025-01-01 09:00:00+00:00,14071273,14071273,5006276,5006276,109130,109130,2474463,2474463,599975,599975,237275,237275,10002,10002,574491,574491,841998,841998,590366.0,590366.0,976261,976261,847500,847500,213847,213847
2025-01-01 10:00:00+00:00,14007133,14007133,5008423,5008423,510609,510609,2302991,2302991,599963,599963,237102,237102,10002,10002,574216,574216,841998,841998,590085.0,590085.0,890856,890856,856500,856500,215570,215570
2025-01-01 11:00:00+00:00,13397670,13397670,5008986,5008986,756110,756110,2009951,2009951,599952,599952,236896,236896,10002,10002,573891,573891,841998,841998,589750.0,589750.0,788727,788727,831250,831250,214804,214804
2025-01-01 12:00:00+00:00,12895238,12895238,4859352,4859352,872914,872914,1687577,1687577,599941,599941,236684,236684,10002,10002,573555,573555,841998,841998,589404.0,589404.0,697064,697064,927250,927250,215569,215569
2025-01-01 13:00:00+00:00,12543934,12543934,4557821,4557821,889360,889360,1393179,1393179,599929,599929,236509,236509,10002,10002,573279,573279,841998,841998,589123.0,589123.0,626614,626614,915750,915750,227821,227821
2025-01-01 14:00:00+00:00,12612575,12612575,4968952,4968952,642642,642642,1138438,1138438,599918,599918,236398,236398,10002,10002,573101,573101,841998,841998,588936.0,588936.0,607104,607104,914750,914750,227630,227630
2025-01-01 15:00:00+00:00,13124173,13124173,5521656,5521656,290661,290661,832040,832040,599907,599907,236449,236449,10002,10002,573175,573175,841998,841998,589013.0,589013.0,659136,659136,964250,964250,245244,245244
2025-01-01 16:00:00+00:00,14818117,14818117,6551295,6551295,47725,47725,880700,880700,599895,599895,236568,236568,10002,10002,573357,573357,841998,841998,589204.0,589204.0,772684,772684,957000,957000,241414,241414
2025-01-01 17:00:00+00:00,15151146,15151146,6371756,6371756,0,0,965130,965130,599883,599883,236707,236707,10002,10002,573575,573575,841998,841998,589424.0,589424.0,911265,911265,1267500,1267500,228397,228397
2025-01-01 18:00:00+00:00,14061308,14061308,5262636,5262636,0,0,941583,941583,599873,599873,236786,236786,10002,10002,573696,573696,841998,841998,589548.0,589548.0,983583,983583,1432500,1432500,302294,302294
2025-01-01 19:00:00+00:00,13600014,13600014,5026362,5026362,0,0,934528,934528,599861,599861,236864,236864,10002,10002,573815,573815,841998,841998,589672.0,589672.0,963586,963586,1432250,1432250,310144,310144
2025-01-01 20:00:00+00:00,13701579,13701579,4969390,4969390,0,0,919927,919927,599849,599849,236925,236925,10002,10002,573903,573903,841998,841998,589763.0,589763.0,914509,914509,1047500,1047500,302869,302869
2025-01-01 21:00:00+00:00,13910283,13910283,5463986,5463986,0,0,913591,913591,599839,599839,236956,236956,10002,10002,573951,573951,841998,841998,589815.0,589815.0,846847,846847,1041250,1041250,231842,231842
2025-01-01 22:00:00+00:00,14089143,14089143,5849626,5849626,0,0,949343,949343,599827,599827,236978,236978,10002,10002,573980,573980,841998,841998,589844.0,589844.0,753678,753678,1153250,1153250,214037,214037
2025-01-01 23:00:00+00:00,14111501,14111501,5931133,5931133,0,0,1030893,1030893,599815,599815,237055,237055,10002,10002,574099,574099,841998,841998,589963.0,589963.0,688429,688429,1122750,1122750,230120,230120
2025-01-02 00:00:00+00:00,13310032,13310032,5857030,5857030,0,0,1153961,1153961,599805,599805,237142,237142,10002,10002,574232,574232,841998,841998,590099.0,590099.0,640567,640567,1430000,1430000,299424,299424
