STN,YYYYMMDD,HH,DD,FH,FF,FX,T,T10N,TD,SQ,Q,DR,RH,P,VV,N,U,WW,IX,M,R,S,O,Y
370,20230101,1,220,110,120,190,163,,59,0,0,0,-1,10087,82,8,49,23,7,0,1,0,0,0
370,20230101,2,210,100,90,180,156,,57,0,0,0,0,10093,83,8,51,,5,0,0,0,0,0
370,20230101,3,210,100,100,170,153,,60,0,0,0,0,10095,82,8,53,2,7,0,0,0,0,0
370,20230101,4,210,100,100,150,151,,65,0,0,0,0,10097,83,8,56,,5,0,0,0,0,0
370,20230101,5,220,90,90,150,144,,72,0,0,0,0,10104,83,8,61,,5,0,0,0,0,0
370,20230101,6,220,80,80,150,141,137,75,0,0,0,0,10117,83,8,64,2,7,0,0,0,0,0
370,20230101,7,250,60,50,130,115,,93,0,0,5,5,10131,62,8,86,81,7,0,1,0,0,0
370,20230101,8,230,50,40,80,109,,99,0,0,10,11,10138,59,8,93,61,7,0,1,0,0,0
370,20230101,9,210,30,30,60,109,,100,0,2,6,3,10147,62,8,94,81,7,0,1,0,0,0
370,20230101,10,190,30,20,50,106,,96,0,15,0,-1,10149,65,8,93,23,7,0,1,0,0,0
370,20230101,11,220,50,70,90,129,,93,0,32,0,0,10148,75,8,78,,5,0,0,0,0,0
370,20230101,12,220,70,70,110,135,101,89,0,49,0,0,10151,75,8,73,2,7,0,0,0,0,0
370,20230101,13,220,70,70,110,136,,80,2,45,0,0,10149,79,8,69,,5,0,0,0,0,0
370,20230101,14,210,50,40,100,129,,82,0,16,0,0,10148,75,8,73,,5,0,0,0,0,0
370,20230101,15,180,30,30,50,130,,84,0,5,0,0,10148,75,8,73,,5,0,0,0,0,0
370,20230101,16,180,30,30,70,126,,84,0,1,0,-1,10150,75,8,75,23,7,0,1,0,0,0
370,20230101,17,180,30,40,70,118,,91,0,0,9,1,10146,70,8,83,81,7,0,1,0,0,0
370,20230101,18,180,40,40,70,110,107,96,0,0,10,4,10142,67,8,90,61,7,0,1,0,0,0
370,20230101,19,160,40,40,70,107,,98,0,0,10,3,10133,62,8,94,51,7,0,1,0,0,0
370,20230101,20,160,40,40,70,108,,99,0,0,7,2,10123,65,8,94,51,7,0,1,0,0,0
370,20230101,21,150,30,30,50,106,,100,0,0,10,8,10119,60,8,95,81,7,0,1,0,0,0
370,20230101,22,170,40,40,60,109,,100,0,0,10,5,10112,65,8,94,61,7,0,1,0,0,0
370,20230101,23,170,40,30,60,110,,101,0,0,7,2,10107,65,8,93,57,7,0,1,0,0,0
370,20230101,24,190,50,50,100,122,104,104,0,0,0,-1,10102,70,8,88,81,7,0,1,0,0,0
370,20230102,1,190,40,50,80,127,,102,0,0,2,1,10097,70,8,85,23,7,0,1,0,0,0
370,20230102,2,200,50,50,90,126,,109,0,0,10,4,10098,63,8,89,81,7,0,1,0,0,0
370,20230102,3,200,60,60,100,127,,109,0,0,10,3,10099,69,8,88,61,7,0,1,0,0,0
370,20230102,4,200,60,70,110,127,,109,0,0,7,3,10100,70,8,88,23,7,0,1,0,0,0
370,20230102,5,210,60,60,110,125,,108,0,0,5,3,10105,70,8,89,57,7,0,1,0,0,0
370,20230102,6,210,70,70,110,124,116,106,0,0,0,-1,10110,70,8,88,57,7,0,1,0,0,0
370,20230102,7,260,70,50,140,105,,87,0,0,8,20,10127,70,8,88,51,7,0,1,0,0,0
370,20230102,8,260,50,60,100,97,,84,0,0,10,1,10142,65,8,91,51,7,0,1,0,0,0
370,20230102,9,250,50,50,90,93,,78,0,5,0,-1,10153,70,8,90,81,7,0,1,0,0,0
370,20230102,10,250,40,40,80,96,,79,0,21,0,-1,10163,70,8,89,23,7,0,1,0,0,0
370,20230102,11,240,40,40,70,97,,78,0,32,0,0,10167,70,8,87,,5,0,0,0,0,0
370,20230102,12,240,40,40,70,98,90,77,0,32,0,0,10172,67,8,87,2,7,0,0,0,0,0
370,20230102,13,220,40,50,70,97,,75,0,22,0,0,10176,70,8,86,,5,0,0,0,0,0
370,20230102,14,210,40,40,60,98,,77,0,21,0,-1,10179,70,8,86,81,7,0,1,0,0,0
370,20230102,15,210,40,50,70,92,,77,0,11,5,2,10184,70,8,90,57,7,0,1,0,0,0
370,20230102,16,230,50,40,80,90,,75,0,3,2,1,10197,65,8,90,81,7,0,1,0,0,0
370,20230102,17,240,50,40,70,82,,68,0,0,2,1,10207,70,8,90,23,7,0,1,0,0,0
370,20230102,18,240,40,40,60,76,65,58,0,0,0,0,10216,70,3,88,1,7,0,0,0,0,0
370,20230102,19,230,40,40,70,71,,56,0,0,0,0,10226,70,1,90,,5,0,0,0,0,0
370,20230102,20,230,30,30,60,54,,47,0,0,0,0,10236,61,0,95,,5,0,0,0,0,0
370,20230102,21,200,30,30,50,61,,55,0,0,0,0,10240,50,3,96,10,7,0,0,0,0,0
370,20230102,22,220,40,40,60,64,,55,0,0,0,-1,10247,64,8,94,23,7,0,1,0,0,0
370,20230102,23,230,40,40,50,50,,39,0,0,0,0,10254,65,1,92,,5,0,0,0,0,0
370,20230102,24,230,40,30,60,48,36,38,0,0,0,0,10260,65,1,93,2,7,0,0,0,0,0
370,20230103,1,180,30,20,40,40,,36,0,0,0,0,10260,60,1,96,,5,0,0,0,0,0
370,20230103,2,180,20,10,40,31,,29,0,0,0,0,10265,15,0,98,10,7,0,0,0,0,0
370,20230103,3,180,20,30,40,30,,25,0,0,0,0,10266,56,0,96,10,7,0,0,0,0,0
370,20230103,4,180,30,20,40,29,,27,0,0,0,0,10266,21,1,98,10,7,0,0,0,0,0
370,20230103,5,160,20,30,40,27,,23,0,0,0,0,10265,37,4,96,10,7,0,0,0,0,0
370,20230103,6,150,30,30,40,38,2,34,0,0,0,0,10263,61,8,97,,5,0,0,0,0,0
370,20230103,7,150,40,50,70,50,,42,0,0,0,0,10257,64,8,94,,5,0,0,0,0,0
