Forecasted Load,forecast_date,target_datetime
12625.0,2025-01-01,2025-01-01 00:00:00+01:00
12585.0,2025-01-01,2025-01-01 00:15:00+01:00
12448.0,2025-01-01,2025-01-01 00:30:00+01:00
12313.0,2025-01-01,2025-01-01 00:45:00+01:00
12214.0,2025-01-01,2025-01-01 01:00:00+01:00
12084.0,2025-01-01,2025-01-01 01:15:00+01:00
12003.0,2025-01-01,2025-01-01 01:30:00+01:00
11936.0,2025-01-01,2025-01-01 01:45:00+01:00
11853.0,2025-01-01,2025-01-01 02:00:00+01:00
11765.0,2025-01-01,2025-01-01 02:15:00+01:00
11694.0,2025-01-01,2025-01-01 02:30:00+01:00
11606.0,2025-01-01,2025-01-01 02:45:00+01:00
11631.0,2025-01-01,2025-01-01 03:00:00+01:00
11587.0,2025-01-01,2025-01-01 03:15:00+01:00
11498.0,2025-01-01,2025-01-01 03:30:00+01:00
11470.0,2025-01-01,2025-01-01 03:45:00+01:00
11455.0,2025-01-01,2025-01-01 04:00:00+01:00
11462.0,2025-01-01,2025-01-01 04:15:00+01:00
11447.0,2025-01-01,2025-01-01 04:30:00+01:00
11467.0,2025-01-01,2025-01-01 04:45:00+01:00
11528.0,2025-01-01,2025-01-01 05:00:00+01:00
11626.0,2025-01-01,2025-01-01 05:15:00+01:00
11716.0,2025-01-01,2025-01-01 05:30:00+01:00
11848.0,2025-01-01,2025-01-01 05:45:00+01:00
11990.0,2025-01-01,2025-01-01 06:00:00+01:00
12288.0,2025-01-01,2025-01-01 06:15:00+01:00
12477.0,2025-01-01,2025-01-01 06:30:00+01:00
12693.0,2025-01-01,2025-01-01 06:45:00+01:00
12890.0,2025-01-01,2025-01-01 07:00:00+01:00
13231.0,2025-01-01,2025-01-01 07:15:00+01:00
13550.0,2025-01-01,2025-01-01 07:30:00+01:00
13784.0,2025-01-01,2025-01-01 07:45:00+01:00
13992.0,2025-01-01,2025-01-01 08:00:00+01:00
14225.0,2025-01-01,2025-01-01 08:15:00+01:00
14317.0,2025-01-01,2025-01-01 08:30:00+01:00
14362.0,2025-01-01,2025-01-01 08:45:00+01:00
14403.0,2025-01-01,2025-01-01 09:00:00+01:00
14525.0,2025-01-01,2025-01-01 09:15:00+01:00
14584.0,2025-01-01,2025-01-01 09:30:00+01:00
14623.0,2025-01-01,2025-01-01 09:45:00+01:00
14632.0,2025-01-01,2025-01-01 10:00:00+01:00
14667.0,2025-01-01,2025-01-01 10:15:00+01:00
14692.0,2025-01-01,2025-01-01 10:30:00+01:00
14699.0,2025-01-01,2025-01-01 10:45:00+01:00
14718.0,2025-01-01,2025-01-01 11:00:00+01:00
14664.0,2025-01-01,2025-01-01 11:15:00+01:00
14629.0,2025-01-01,2025-01-01 11:30:00+01:00
14600.0,2025-01-01,2025-01-01 11:45:00+01:00
14559.0,2025-01-01,2025-01-01 12:00:00+01:00
14598.0,2025-01-01,2025-01-01 12:15:00+01:00
14632.0,2025-01-01,2025-01-01 12:30:00+01:00
14621.0,2025-01-01,2025-01-01 12:45:00+01:00
14649.0,2025-01-01,2025-01-01 13:00:00+01:00
14689.0,2025-01-01,2025-01-01 13:15:00+01:00
14703.0,2025-01-01,2025-01-01 13:30:00+01:00
14734.0,2025-01-01,2025-01-01 13:45:00+01:00
14696.0,2025-01-01,2025-01-01 14:00:00+01:00
14711.0,2025-01-01,2025-01-01 14:15:00+01:00
14702.0,2025-01-01,2025-01-01 14:30:00+01:00
14695.0,2025-01-01,2025-01-01 14:45:00+01:00
14689.0,2025-01-01,2025-01-01 15:00:00+01:00
14719.0,2025-01-01,2025-01-01 15:15:00+01:00
14713.0,2025-01-01,2025-01-01 15:30:00+01:00
14742.0,2025-01-01,2025-01-01 15:45:00+01:00
14750.0,2025-01-01,2025-01-01 16:00:00+01:00
14705.0,2025-01-01,2025-01-01 16:15:00+01:00
14866.0,2025-01-01,2025-01-01 16:30:00+01:00
15055.0,2025-01-01,2025-01-01 16:45:00+01:00
15198.0,2025-01-01,2025-01-01 17:00:00+01:00
15282.0,2025-01-01,2025-01-01 17:15:00+01:00
15369.0,2025-01-01,2025-01-01 17:30:00+01:00
15382.0,2025-01-01,2025-01-01 17:45:00+01:00
15297.0,2025-01-01,2025-01-01 18:00:00+01:00
15071.0,2025-01-01,2025-01-01 18:15:00+01:00
14994.0,2025-01-01,2025-01-01 18:30:00+01:00
14912.0,2025-01-01,2025-01-01 18:45:00+01:00
14829.0,2025-01-01,2025-01-01 19:00:00+01:00
14667.0,2025-01-01,2025-01-01 19:15:00+01:00
14488.0,2025-01-01,2025-01-01 19:30:00+01:00
14365.0,2025-01-01,2025-01-01 19:45:00+01:00
14320.0,2025-01-01,2025-01-01 20:00:00+01:00
14257.0,2025-01-01,2025-01-01 20:15:00+01:00
14139.0,2025-01-01,2025-01-01 20:30:00+01:00
14013.0,2025-01-01,2025-01-01 20:45:00+01:00
13906.0,2025-01-01,2025-01-01 21:00:00+01:00
13822.0,2025-01-01,2025-01-01 21:15:00+01:00
13737.0,2025-01-01,2025-01-01 21:30:00+01:00
13593.0,2025-01-01,2025-01-01 21:45:00+01:00
13518.0,2025-01-01,2025-01-01 22:00:00+01:00
13412.0,2025-01-01,2025-01-01 22:15:00+01:00
13279.0,2025-01-01,2025-01-01 22:30:00+01:00
13124.0,2025-01-01,2025-01-01 22:45:00+01:00
12914.0,2025-01-01,2025-01-01 23:00:00+01:00
12707.0,2025-01-01,2025-01-01 23:15:00+01:00
12622.0,2025-01-01,2025-01-01 23:30:00+01:00
12495.0,2025-01-01,2025-01-01 23:45:00+01:00
12345.0,2025-01-02,2025-01-02 00:00:00+01:00
12187.0,2025-01-02,2025-01-02 00:15:00+01:00
12120.0,2025-01-02,2025-01-02 00:30:00+01:00
12021.0,2025-01-02,2025-01-02 00:45:00+01:00
11895.0,2025-01-02,2025-01-02 01:00:00+01:00
11776.0,2025-01-02,2025-01-02 01:15:00+01:00
11711.0,2025-01-02,2025-01-02 01:30:00+01:00
11643.0,2025-01-02,2025-01-02 01:45:00+01:00
11590.0,2025-01-02,2025-01-02 02:00:00+01:00
11548.0,2025-01-02,2025-01-02 02:15:00+01:00
11471.0,2025-01-02,2025-01-02 02:30:00+01:00
11424.0,2025-01-02,2025-01-02 02:45:00+01:00
11377.0,2025-01-02,2025-01-02 03:00:00+01:00
11290.0,2025-01-02,2025-01-02 03:15:00+01:00
11252.0,2025-01-02,2025-01-02 03:30:00+01:00
11233.0,2025-01-02,2025-01-02 03:45:00+01:00
11227.0,2025-01-02,2025-01-02 04:00:00+01:00
11268.0,2025-01-02,2025-01-02 04:15:00+01:00
11245.0,2025-01-02,2025-01-02 04:30:00+01:00
11247.0,2025-01-02,2025-01-02 04:45:00+01:00
11306.0,2025-01-02,2025-01-02 05:00:00+01:00
11462.0,2025-01-02,2025-01-02 05:15:00+01:00
11537.0,2025-01-02,2025-01-02 05:30:00+01:00
11662.0,2025-01-02,2025-01-02 05:45:00+01:00
11817.0,2025-01-02,2025-01-02 06:00:00+01:00
12163.0,2025-01-02,2025-01-02 06:15:00+01:00
12361.0,2025-01-02,2025-01-02 06:30:00+01:00
12511.0,2025-01-02,2025-01-02 06:45:00+01:00
12732.0,2025-01-02,2025-01-02 07:00:00+01:00
13162.0,2025-01-02,2025-01-02 07:15:00+01:00
13479.0,2025-01-02,2025-01-02 07:30:00+01:00
13697.0,2025-01-02,2025-01-02 07:45:00+01:00
13825.0,2025-01-02,2025-01-02 08:00:00+01:00
14045.0,2025-01-02,2025-01-02 08:15:00+01:00
14213.0,2025-01-02,2025-01-02 08:30:00+01:00
14307.0,2025-01-02,2025-01-02 08:45:00+01:00
14367.0,2025-01-02,2025-01-02 09:00:00+01:00
14503.0,2025-01-02,2025-01-02 09:15:00+01:00
14606.0,2025-01-02,2025-01-02 09:30:00+01:00
14634.0,2025-01-02,2025-01-02 09:45:00+01:00
14699.0,2025-01-02,2025-01-02 10:00:00+01:00
14779.0,2025-01-02,2025-01-02 10:15:00+01:00
14784.0,2025-01-02,2025-01-02 10:30:00+01:00
14816.0,2025-01-02,2025-01-02 10:45:00+01:00
