"MTU (UTC)","Area","Sequence","Day-ahead Price (EUR/MWh)","Intraday Period (UTC)","Intraday Price (EUR/MWh)"
"31/12/2024 23:00:00 - 01/01/2025 00:00:00","BZN|NL","Without sequence","13.62","",""
"01/01/2025 00:00:00 - 01/01/2025 01:00:00","BZN|NL","Without sequence","6.24","",""
"01/01/2025 01:00:00 - 01/01/2025 02:00:00","BZN|NL","Without sequence","4.16","",""
"01/01/2025 02:00:00 - 01/01/2025 03:00:00","BZN|NL","Without sequence","3.28","",""
"01/01/2025 03:00:00 - 01/01/2025 04:00:00","BZN|NL","Without sequence","0.68","",""
"01/01/2025 04:00:00 - 01/01/2025 05:00:00","BZN|NL","Without sequence","0.0","",""
"01/01/2025 05:00:00 - 01/01/2025 06:00:00","BZN|NL","Without sequence","0.76","",""
"01/01/2025 06:00:00 - 01/01/2025 07:00:00","BZN|NL","Without sequence","0.79","",""
"01/01/2025 07:00:00 - 01/01/2025 08:00:00","BZN|NL","Without sequence","1.89","",""
"01/01/2025 08:00:00 - 01/01/2025 09:00:00","BZN|NL","Without sequence","7.5","",""
"01/01/2025 09:00:00 - 01/01/2025 10:00:00","BZN|NL","Without sequence","27.32","",""
"01/01/2025 10:00:00 - 01/01/2025 11:00:00","BZN|NL","Without sequence","37.49","",""
"01/01/2025 11:00:00 - 01/01/2025 12:00:00","BZN|NL","Without sequence","60.1","",""
"01/01/2025 12:00:00 - 01/01/2025 13:00:00","BZN|NL","Without sequence","63.32","",""
"01/01/2025 13:00:00 - 01/01/2025 14:00:00","BZN|NL","Without sequence","47.0","",""
"01/01/2025 14:00:00 - 01/01/2025 15:00:00","BZN|NL","Without sequence","50.1","",""
"01/01/2025 15:00:00 - 01/01/2025 16:00:00","BZN|NL","Without sequence","27.64","",""
"01/01/2025 16:00:00 - 01/01/2025 17:00:00","BZN|NL","Without sequence","79.97","",""
"01/01/2025 17:00:00 - 01/01/2025 18:00:00","BZN|NL","Without sequence","95.0","",""
"01/01/2025 18:00:00 - 01/01/2025 19:00:00","BZN|NL","Without sequence","95.0","",""
"01/01/2025 19:00:00 - 01/01/2025 20:00:00","BZN|NL","Without sequence","81.49","",""
"01/01/2025 20:00:00 - 01/01/2025 21:00:00","BZN|NL","Without sequence","68.96","",""
"01/01/2025 21:00:00 - 01/01/2025 22:00:00","BZN|NL","Without sequence","46.37","",""
"01/01/2025 22:00:00 - 01/01/2025 23:00:00","BZN|NL","Without sequence","38.0","",""
"01/01/2025 23:00:00 - 02/01/2025 00:00:00","BZN|NL","Without sequence","101.94","",""
"02/01/2025 00:00:00 - 02/01/2025 01:00:00","BZN|NL","Without sequence","146.95","",""
"02/01/2025 01:00:00 - 02/01/2025 02:00:00","BZN|NL","Without sequence","148.44","",""
"02/01/2025 02:00:00 - 02/01/2025 03:00:00","BZN|NL","Without sequence","138.0","",""
"02/01/2025 03:00:00 - 02/01/2025 04:00:00","BZN|NL","Without sequence","100.1","",""
"02/01/2025 04:00:00 - 02/01/2025 05:00:00","BZN|NL","Without sequence","107.47","",""
"02/01/2025 05:00:00 - 02/01/2025 06:00:00","BZN|NL","Without sequence","154.68","",""
"02/01/2025 06:00:00 - 02/01/2025 07:00:00","BZN|NL","Without sequence","174.7","",""
"02/01/2025 07:00:00 - 02/01/2025 08:00:00","BZN|NL","Without sequence","175.07","",""
"02/01/2025 08:00:00 - 02/01/2025 09:00:00","BZN|NL","Without sequence","165.37","",""
"02/01/2025 09:00:00 - 02/01/2025 10:00:00","BZN|NL","Without sequence","136.0","",""
"02/01/2025 10:00:00 - 02/01/2025 11:00:00","BZN|NL","Without sequence","111.93","",""
"02/01/2025 11:00:00 - 02/01/2025 12:00:00","BZN|NL","Without sequence","101.52","",""
"02/01/2025 12:00:00 - 02/01/2025 13:00:00","BZN|NL","Without sequence","105.6","",""
"02/01/2025 13:00:00 - 02/01/2025 14:00:00","BZN|NL","Without sequence","118.95","",""
"02/01/2025 14:00:00 - 02/01/2025 15:00:00","BZN|NL","Without sequence","130.11","",""
"02/01/2025 15:00:00 - 02/01/2025 16:00:00","BZN|NL","Without sequence","138.81","",""
"02/01/2025 16:00:00 - 02/01/2025 17:00:00","BZN|NL","Without sequence","153.0","",""
"02/01/2025 17:00:00 - 02/01/2025 18:00:00","BZN|NL","Without sequence","152.99","",""
"02/01/2025 18:00:00 - 02/01/2025 19:00:00","BZN|NL","Without sequence","128.0","",""
"02/01/2025 19:00:00 - 02/01/2025 20:00:00","BZN|NL","Without sequence","129.17","",""
"02/01/2025 20:00:00 - 02/01/2025 21:00:00","BZN|NL","Without sequence","120.0","",""
"02/01/2025 21:00:00 - 02/01/2025 22:00:00","BZN|NL","Without sequence","119.9","",""
"02/01/2025 22:00:00 - 02/01/2025 23:00:00","BZN|NL","Without sequence","116.07","",""
"02/01/2025 23:00:00 - 03/01/2025 00:00:00","BZN|NL","Without sequence","114.32","",""
"03/01/2025 00:00:00 - 03/01/2025 01:00:00","BZN|NL","Without sequence","115.0","",""
"03/01/2025 01:00:00 - 03/01/2025 02:00:00","BZN|NL","Without sequence","103.0","",""
"03/01/2025 02:00:00 - 03/01/2025 03:00:00","BZN|NL","Without sequence","98.0","",""
"03/01/2025 03:00:00 - 03/01/2025 04:00:00","BZN|NL","Without sequence","78.15","",""
"03/01/2025 04:00:00 - 03/01/2025 05:00:00","BZN|NL","Without sequence","71.0","",""
"03/01/2025 05:00:00 - 03/01/2025 06:00:00","BZN|NL","Without sequence","68.96","",""
"03/01/2025 06:00:00 - 03/01/2025 07:00:00","BZN|NL","Without sequence","86.0","",""
"03/01/2025 07:00:00 - 03/01/2025 08:00:00","BZN|NL","Without sequence","112.64","",""
"03/01/2025 08:00:00 - 03/01/2025 09:00:00","BZN|NL","Without sequence","134.51","",""
"03/01/2025 09:00:00 - 03/01/2025 10:00:00","BZN|NL","Without sequence","100.0","",""
"03/01/2025 10:00:00 - 03/01/2025 11:00:00","BZN|NL","Without sequence","86.6","",""
"03/01/2025 11:00:00 - 03/01/2025 12:00:00","BZN|NL","Without sequence","83.8","",""
"03/01/2025 12:00:00 - 03/01/2025 13:00:00","BZN|NL","Without sequence","97.2","",""
"03/01/2025 13:00:00 - 03/01/2025 14:00:00","BZN|NL","Without sequence","117.05","",""
"03/01/2025 14:00:00 - 03/01/2025 15:00:00","BZN|NL","Without sequence","149.99","",""
"03/01/2025 15:00:00 - 03/01/2025 16:00:00","BZN|NL","Without sequence","125.8","",""
"03/01/2025 16:00:00 - 03/01/2025 17:00:00","BZN|NL","Without sequence","149.93","",""
"03/01/2025 17:00:00 - 03/01/2025 18:00:00","BZN|NL","Without sequence","133.2","",""
"03/01/2025 18:00:00 - 03/01/2025 19:00:00","BZN|NL","Without sequence","124.3","",""
