forecast_date,forecast_horizon_hours,pred_window_start_idx,pred_window_timestamps_str,actual_window_start_idx,actual_window_timestamps_str,matching_hours,accuracy_percentage,pred_total_cost,actual_total_cost,cost_difference
2025-02-01,96,92,02-04 21:00; 02-04 22:00; 02-04 23:00; 02-05 00:00,92,02-04 21:00; 02-04 22:00; 02-04 23:00; 02-05 00:00,4,100.0,0.273063,0.43670000000000003,-0.16363700000000003
2025-02-02,96,71,02-05 00:00; 02-05 01:00; 02-05 02:00; 02-05 03:00,70,02-04 23:00; 02-05 00:00; 02-05 01:00; 02-05 02:00,3,75.0,0.24517479999999992,0.39003,-0.14485520000000007
2025-02-03,96,48,02-05 01:00; 02-05 02:00; 02-05 03:00; 02-05 04:00,46,02-04 23:00; 02-05 00:00; 02-05 01:00; 02-05 02:00,2,50.0,0.2381727,0.39003,-0.1518573
2025-02-04,96,24,02-05 01:00; 02-05 02:00; 02-05 03:00; 02-05 04:00,92,02-07 21:00; 02-07 22:00; 02-07 23:00; 02-08 00:00,0,0.0,0.30092769999999996,0.3459,-0.04497230000000002
2025-02-05,96,59,02-07 12:00; 02-07 13:00; 02-07 14:00; 02-07 15:00,69,02-07 22:00; 02-07 23:00; 02-08 00:00; 02-08 01:00,0,0.0,0.3204982999999999,0.3234,-0.002901700000000118
2025-02-06,96,35,02-07 12:00; 02-07 13:00; 02-07 14:00; 02-07 15:00,45,02-07 22:00; 02-07 23:00; 02-08 00:00; 02-08 01:00,0,0.0,0.35493690000000006,0.3234,0.031536900000000034
2025-02-07,96,83,02-10 12:00; 02-10 13:00; 02-10 14:00; 02-10 15:00,21,02-07 22:00; 02-07 23:00; 02-08 00:00; 02-08 01:00,0,0.0,0.3525531,0.3234,0.029153099999999987
2025-02-08,96,59,02-10 12:00; 02-10 13:00; 02-10 14:00; 02-10 15:00,71,02-11 00:00; 02-11 01:00; 02-11 02:00; 02-11 03:00,0,0.0,0.3295353999999999,0.27983,0.0497053999999999
2025-02-09,96,35,02-10 12:00; 02-10 13:00; 02-10 14:00; 02-10 15:00,47,02-11 00:00; 02-11 01:00; 02-11 02:00; 02-11 03:00,0,0.0,0.348744,0.27983,0.06891399999999998
2025-02-10,96,11,02-10 12:00; 02-10 13:00; 02-10 14:00; 02-10 15:00,23,02-11 00:00; 02-11 01:00; 02-11 02:00; 02-11 03:00,0,0.0,0.3505219,0.27983,0.07069189999999997
2025-02-11,96,0,02-11 01:00; 02-11 02:00; 02-11 03:00; 02-11 04:00,0,02-11 01:00; 02-11 02:00; 02-11 03:00; 02-11 04:00,4,100.0,0.37367579999999995,0.29433,0.07934579999999997
2025-02-12,96,73,02-15 02:00; 02-15 03:00; 02-15 04:00; 02-15 05:00,82,02-15 11:00; 02-15 12:00; 02-15 13:00; 02-15 14:00,0,0.0,0.4501255000000003,0.4554,-0.005274499999999738
2025-02-13,96,84,02-16 13:00; 02-16 14:00; 02-16 15:00; 02-16 16:00,58,02-15 11:00; 02-15 12:00; 02-15 13:00; 02-15 14:00,0,0.0,0.34939900000000007,0.4554,-0.10600099999999996
2025-02-14,96,59,02-16 12:00; 02-16 13:00; 02-16 14:00; 02-16 15:00,82,02-17 11:00; 02-17 12:00; 02-17 13:00; 02-17 14:00,0,0.0,0.3442611999999999,0.44528,-0.10101880000000013
2025-02-15,96,33,02-16 10:00; 02-16 11:00; 02-16 12:00; 02-16 13:00,83,02-18 12:00; 02-18 13:00; 02-18 14:00; 02-18 15:00,0,0.0,0.4010309000000002,0.39289,0.008140900000000173
2025-02-16,96,49,02-18 02:00; 02-18 03:00; 02-18 04:00; 02-18 05:00,82,02-19 11:00; 02-19 12:00; 02-19 13:00; 02-19 14:00,0,0.0,0.37713889999999994,0.30672,0.07041889999999995
2025-02-17,96,91,02-20 20:00; 02-20 21:00; 02-20 22:00; 02-20 23:00,58,02-19 11:00; 02-19 12:00; 02-19 13:00; 02-19 14:00,0,0.0,0.33057699999999995,0.30672,0.02385699999999996
2025-02-18,96,84,02-21 13:00; 02-21 14:00; 02-21 15:00; 02-21 16:00,92,02-21 21:00; 02-21 22:00; 02-21 23:00; 02-22 00:00,0,0.0,0.29945900000000003,0.26214,0.03731900000000005
2025-02-19,96,83,02-22 12:00; 02-22 13:00; 02-22 14:00; 02-22 15:00,72,02-22 01:00; 02-22 02:00; 02-22 03:00; 02-22 04:00,0,0.0,0.25750909999999994,0.17799,0.07951909999999993
2025-02-20,96,83,02-23 12:00; 02-23 13:00; 02-23 14:00; 02-23 15:00,83,02-23 12:00; 02-23 13:00; 02-23 14:00; 02-23 15:00,4,100.0,0.22955409999999996,0.15776,0.07179409999999994
2025-02-21,96,82,02-24 11:00; 02-24 12:00; 02-24 13:00; 02-24 14:00,73,02-24 02:00; 02-24 03:00; 02-24 04:00; 02-24 05:00,0,0.0,0.2645259,0.031039999999999998,0.23348589999999997
2025-02-22,96,59,02-24 12:00; 02-24 13:00; 02-24 14:00; 02-24 15:00,49,02-24 02:00; 02-24 03:00; 02-24 04:00; 02-24 05:00,0,0.0,0.25691579999999986,0.031039999999999998,0.22587579999999985
2025-02-23,96,26,02-24 03:00; 02-24 04:00; 02-24 05:00; 02-24 06:00,25,02-24 02:00; 02-24 03:00; 02-24 04:00; 02-24 05:00,3,75.0,0.28041819999999995,0.031039999999999998,0.24937819999999994
2025-02-24,96,0,02-24 01:00; 02-24 02:00; 02-24 03:00; 02-24 04:00,1,02-24 02:00; 02-24 03:00; 02-24 04:00; 02-24 05:00,3,75.0,0.1505363999999999,0.031039999999999998,0.1194963999999999
2025-02-25,96,82,02-28 11:00; 02-28 12:00; 02-28 13:00; 02-28 14:00,34,02-26 11:00; 02-26 12:00; 02-26 13:00; 02-26 14:00,0,0.0,0.31620030000000005,0.35169,-0.03548969999999996
2025-02-26,96,48,02-28 01:00; 02-28 02:00; 02-28 03:00; 02-28 04:00,10,02-26 11:00; 02-26 12:00; 02-26 13:00; 02-26 14:00,0,0.0,0.2998330999999999,0.35169,-0.051856900000000095
2025-02-27,96,25,02-28 02:00; 02-28 03:00; 02-28 04:00; 02-28 05:00,82,03-02 11:00; 03-02 12:00; 03-02 13:00; 03-02 14:00,0,0.0,0.3364675,0.06964000000000001,0.2668275
2025-02-28,96,10,02-28 11:00; 02-28 12:00; 02-28 13:00; 02-28 14:00,82,03-03 11:00; 03-03 12:00; 03-03 13:00; 03-03 14:00,0,0.0,0.3629629,0.06544,0.2975229
2025-03-01,96,33,03-02 10:00; 03-02 11:00; 03-02 12:00; 03-02 13:00,58,03-03 11:00; 03-03 12:00; 03-03 13:00; 03-03 14:00,0,0.0,0.41694469999999995,0.06544,0.35150469999999995
2025-03-02,96,82,03-05 11:00; 03-05 12:00; 03-05 13:00; 03-05 14:00,81,03-05 10:00; 03-05 11:00; 03-05 12:00; 03-05 13:00,3,75.0,0.37402689999999994,-0.04644,0.4204668999999999
2025-03-03,96,58,03-05 11:00; 03-05 12:00; 03-05 13:00; 03-05 14:00,57,03-05 10:00; 03-05 11:00; 03-05 12:00; 03-05 13:00,3,75.0,0.3231342,-0.04644,0.36957419999999996
2025-03-04,96,34,03-05 11:00; 03-05 12:00; 03-05 13:00; 03-05 14:00,33,03-05 10:00; 03-05 11:00; 03-05 12:00; 03-05 13:00,3,75.0,0.34780719999999987,-0.04644,0.39424719999999985
2025-03-05,96,10,03-05 11:00; 03-05 12:00; 03-05 13:00; 03-05 14:00,9,03-05 10:00; 03-05 11:00; 03-05 12:00; 03-05 13:00,3,75.0,0.2384274,-0.04644,0.2848674
2025-03-06,96,82,03-09 11:00; 03-09 12:00; 03-09 13:00; 03-09 14:00,82,03-09 11:00; 03-09 12:00; 03-09 13:00; 03-09 14:00,4,100.0,0.0934396,-0.02959,0.1230296
2025-03-07,96,58,03-09 11:00; 03-09 12:00; 03-09 13:00; 03-09 14:00,58,03-09 11:00; 03-09 12:00; 03-09 13:00; 03-09 14:00,4,100.0,0.023376999999999978,-0.02959,0.05296699999999998
2025-03-08,96,34,03-09 11:00; 03-09 12:00; 03-09 13:00; 03-09 14:00,34,03-09 11:00; 03-09 12:00; 03-09 13:00; 03-09 14:00,4,100.0,0.035039899999999964,-0.02959,0.06462989999999996
2025-03-09,96,81,03-12 10:00; 03-12 11:00; 03-12 12:00; 03-12 13:00,10,03-09 11:00; 03-09 12:00; 03-09 13:00; 03-09 14:00,0,0.0,0.054417,-0.02959,0.084007
2025-03-10,96,57,03-12 10:00; 03-12 11:00; 03-12 12:00; 03-12 13:00,10,03-10 11:00; 03-10 12:00; 03-10 13:00; 03-10 14:00,0,0.0,0.033563599999999985,0.31311999999999995,-0.2795564
2025-03-11,96,33,03-12 10:00; 03-12 11:00; 03-12 12:00; 03-12 13:00,10,03-11 11:00; 03-11 12:00; 03-11 13:00; 03-11 14:00,0,0.0,0.04829629999999997,0.38322,-0.33492370000000005
2025-03-12,96,9,03-12 10:00; 03-12 11:00; 03-12 12:00; 03-12 13:00,83,03-15 12:00; 03-15 13:00; 03-15 14:00; 03-15 15:00,0,0.0,0.007184999999999989,0.22436,-0.217175
2025-03-13,96,58,03-15 11:00; 03-15 12:00; 03-15 13:00; 03-15 14:00,82,03-16 11:00; 03-16 12:00; 03-16 13:00; 03-16 14:00,0,0.0,0.016898800000000005,-0.01324,0.030138800000000007
2025-03-14,96,58,03-16 11:00; 03-16 12:00; 03-16 13:00; 03-16 14:00,58,03-16 11:00; 03-16 12:00; 03-16 13:00; 03-16 14:00,4,100.0,0.022679899999999992,-0.01324,0.03591989999999999
2025-03-15,96,34,03-16 11:00; 03-16 12:00; 03-16 13:00; 03-16 14:00,82,03-18 11:00; 03-18 12:00; 03-18 13:00; 03-18 14:00,0,0.0,-0.01921709999999998,-0.014129999999999998,-0.005087099999999982
2025-03-16,96,10,03-16 11:00; 03-16 12:00; 03-16 13:00; 03-16 14:00,58,03-18 11:00; 03-18 12:00; 03-18 13:00; 03-18 14:00,0,0.0,-0.012341399999999971,-0.014129999999999998,0.0017886000000000273
2025-03-17,96,10,03-17 11:00; 03-17 12:00; 03-17 13:00; 03-17 14:00,34,03-18 11:00; 03-18 12:00; 03-18 13:00; 03-18 14:00,0,0.0,0.2893106999999999,-0.014129999999999998,0.3034406999999999
