@id,@type,id,point,type,granularity,granularitytimezone,activity,classification,capacity,volume,percentage,validfrom,validto,lastupdate
/v1/utilizations/23789747332,Utilization,23789747332,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55998,55998,1,2021-12-31T23:00:00+00:00,2022-01-01T00:00:00+00:00,2023-05-24T15:24:27+00:00
/v1/utilizations/23792908697,Utilization,23792908697,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55998,55998,1,2022-01-01T00:00:00+00:00,2022-01-01T01:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23796069320,Utilization,23796069320,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55996,55996,1,2022-01-01T01:00:00+00:00,2022-01-01T02:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23799229625,Utilization,23799229625,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55992,55992,1,2022-01-01T02:00:00+00:00,2022-01-01T03:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23802389962,Utilization,23802389962,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55992,55992,1,2022-01-01T03:00:00+00:00,2022-01-01T04:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23805550331,Utilization,23805550331,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55991,55991,1,2022-01-01T04:00:00+00:00,2022-01-01T05:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23808710732,Utilization,23808710732,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55986,55986,1,2022-01-01T05:00:00+00:00,2022-01-01T06:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23811871165,Utilization,23811871165,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55986,55986,1,2022-01-01T06:00:00+00:00,2022-01-01T07:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23815343747,Utilization,23815343747,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55986,55986,1,2022-01-01T07:00:00+00:00,2022-01-01T08:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23818504244,Utilization,23818504244,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55980,55980,1,2022-01-01T08:00:00+00:00,2022-01-01T09:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23821664773,Utilization,23821664773,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55980,55980,1,2022-01-01T09:00:00+00:00,2022-01-01T10:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23824825334,Utilization,23824825334,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55980,55980,1,2022-01-01T10:00:00+00:00,2022-01-01T11:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23827985927,Utilization,23827985927,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55975,55975,1,2022-01-01T11:00:00+00:00,2022-01-01T12:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23831146552,Utilization,23831146552,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55974,55974,1,2022-01-01T12:00:00+00:00,2022-01-01T13:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23834307209,Utilization,23834307209,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55974,55974,1,2022-01-01T13:00:00+00:00,2022-01-01T14:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23837467898,Utilization,23837467898,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55970,55970,1,2022-01-01T14:00:00+00:00,2022-01-01T15:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23840628619,Utilization,23840628619,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55968,55968,1,2022-01-01T15:00:00+00:00,2022-01-01T16:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23843789372,Utilization,23843789372,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55968,55968,1,2022-01-01T16:00:00+00:00,2022-01-01T17:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23846950157,Utilization,23846950157,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55964,55964,1,2022-01-01T17:00:00+00:00,2022-01-01T18:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23850110974,Utilization,23850110974,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55962,55962,1,2022-01-01T18:00:00+00:00,2022-01-01T19:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23853271823,Utilization,23853271823,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55962,55962,1,2022-01-01T19:00:00+00:00,2022-01-01T20:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23856432704,Utilization,23856432704,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55959,55959,1,2022-01-01T20:00:00+00:00,2022-01-01T21:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23859593617,Utilization,23859593617,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55956,55956,1,2022-01-01T21:00:00+00:00,2022-01-01T22:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23862754562,Utilization,23862754562,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55956,55956,1,2022-01-01T22:00:00+00:00,2022-01-01T23:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23865915539,Utilization,23865915539,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55954,55954,1,2022-01-01T23:00:00+00:00,2022-01-02T00:00:00+00:00,2023-05-24T11:04:51+00:00
/v1/utilizations/23869077278,Utilization,23869077278,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55950,55950,1,2022-01-02T00:00:00+00:00,2022-01-02T01:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23872235521,Utilization,23872235521,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55950,55950,1,2022-01-02T01:00:00+00:00,2022-01-02T02:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23875393378,Utilization,23875393378,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55949,55949,1,2022-01-02T02:00:00+00:00,2022-01-02T03:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23878551267,Utilization,23878551267,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55944,55944,1,2022-01-02T03:00:00+00:00,2022-01-02T04:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23881709188,Utilization,23881709188,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55944,55944,1,2022-01-02T04:00:00+00:00,2022-01-02T05:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23884867141,Utilization,23884867141,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55944,55944,1,2022-01-02T05:00:00+00:00,2022-01-02T06:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23888025126,Utilization,23888025126,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55938,55938,1,2022-01-02T06:00:00+00:00,2022-01-02T07:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23891495260,Utilization,23891495260,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55938,55938,1,2022-01-02T07:00:00+00:00,2022-01-02T08:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23894653309,Utilization,23894653309,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55938,55938,1,2022-01-02T08:00:00+00:00,2022-01-02T09:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23897811390,Utilization,23897811390,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55933,55933,1,2022-01-02T09:00:00+00:00,2022-01-02T10:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23900969503,Utilization,23900969503,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55932,55932,1,2022-01-02T10:00:00+00:00,2022-01-02T11:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23904127648,Utilization,23904127648,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55932,55932,1,2022-01-02T11:00:00+00:00,2022-01-02T12:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23907285825,Utilization,23907285825,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55927,55927,1,2022-01-02T12:00:00+00:00,2022-01-02T13:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23910444034,Utilization,23910444034,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55926,55926,1,2022-01-02T13:00:00+00:00,2022-01-02T14:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23913602275,Utilization,23913602275,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55926,55926,1,2022-01-02T14:00:00+00:00,2022-01-02T15:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23916760548,Utilization,23916760548,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55922,55922,1,2022-01-02T15:00:00+00:00,2022-01-02T16:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23919918853,Utilization,23919918853,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55920,55920,1,2022-01-02T16:00:00+00:00,2022-01-02T17:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23923077190,Utilization,23923077190,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55920,55920,1,2022-01-02T17:00:00+00:00,2022-01-02T18:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23926235559,Utilization,23926235559,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55917,55917,1,2022-01-02T18:00:00+00:00,2022-01-02T19:00:00+00:00,2023-05-24T11:05:37+00:00
/v1/utilizations/23929393960,Utilization,23929393960,/v1/points/0,/v1/types/10,/v1/granularities/5,/v1/granularity_time_zones/0,/v1/activities/1,/v1/classifications/2,55914,55914,1,2022-01-02T19:00:00+00:00,2022-01-02T20:00:00+00:00,2023-05-24T11:05:37+00:00
