Model,MAE,RMSE,MAPE,sMAPE,AIC,Execution Time,Comments
Linear Regression,4693590.628877738,5513835.147852449,70.12433384126643,47.17916009082064,136107.6558921646,0.009040117263793945,Addition of Prophet model
Naive Model,4581184.024863139,5879862.632938915,49.747321072877234,46.95968914874955,136107.6558921646,0.00018906593322753906,Addition of Prophet model
Prophet,4693590.628877738,5513835.147852449,70.12433384126643,47.17916009082064,136107.6558921646,11.231134176254272,Addition of Prophet model
"ARIMA (1,1,1)",5512123.457605078,6393478.123876222,92.50056994476262,52.26534263945906,650761.4017679276,2.1215760707855225,Addition of Prophet model
"SARIMAX (1,1,3)",5023410.092237171,5838692.040333838,80.64276718021648,49.310896110056824,649991.4743619412,3.873694896697998,Addition of Prophet model
LASSO,4693590.628877738,5513835.147852449,70.12433384126643,47.17916009082064,136107.6558921646,0.02280282974243164,Addition of Prophet model
Decision Tree,4578736.809078467,5435265.222654436,65.0450437750758,46.401343997669024,136107.6558921646,0.017277002334594727,Addition of Prophet model
Random Forest,4499613.457801095,5451758.689496471,59.41769357312936,45.880681369825346,136107.6558921646,103.32661604881287,Addition of Prophet model
XGBoost,489129.47940237226,708568.9102658343,5.1300281023011784,5.13347588394358,118292.0051311969,7.563127756118774,Addition of Prophet model
LSTM,10466368.434887562,11817304.96712146,inf,199.9999847471244,171308.424592684,,Addition of Prophet model
