,Model,Scenario,Window Start,Model Cost (€),True Block Cost (€),Cost Diff (€),Overlap (hrs),RMSE
0,Random Forest,4-day,2025-03-16 01:00:00+00:00,5.83,6.22,-0.39,0,0.01097
1,Oxygent,4-day,2025-03-16 01:00:00+00:00,7.02,6.22,0.8,0,0.01522
2,Naive,4-day,2025-03-16 01:00:00+00:00,5.83,6.22,-0.39,0,0.00881
3,Random Forest,4-day,2025-03-20 01:00:00+00:00,6.3,5.31,0.99,0,0.02444
4,Oxygent,4-day,2025-03-20 01:00:00+00:00,7.51,5.31,2.2,0,0.125
5,Naive,4-day,2025-03-20 01:00:00+00:00,6.3,5.31,0.99,0,0.01418
6,Random Forest,4-day,2025-03-24 01:00:00+00:00,7.58,6.66,0.92,0,0.05519
7,Oxygent,4-day,2025-03-24 01:00:00+00:00,8.64,6.66,1.99,0,0.06502
8,Naive,4-day,2025-03-24 01:00:00+00:00,7.58,6.66,0.92,0,0.04386
9,Random Forest,4-day,2025-03-28 01:00:00+00:00,7.97,3.78,4.19,0,0.0499
10,Oxygent,4-day,2025-03-28 01:00:00+00:00,4.49,3.78,0.72,0,0.15489
11,Naive,4-day,2025-03-28 01:00:00+00:00,5.46,3.78,1.69,0,0.02426
12,Random Forest,4-day,2025-04-01 01:00:00+00:00,5.68,3.85,1.83,0,0.03165
13,Oxygent,4-day,2025-04-01 01:00:00+00:00,6.69,3.85,2.84,0,0.03794
14,Naive,4-day,2025-04-01 01:00:00+00:00,5.76,3.85,1.91,0,0.02674
15,Random Forest,4-day,2025-04-05 01:00:00+00:00,6.64,3.91,2.73,0,0.06387
16,Oxygent,4-day,2025-04-05 01:00:00+00:00,5.7,3.91,1.79,0,0.10338
17,Naive,4-day,2025-04-05 01:00:00+00:00,3.91,3.91,0.0,0,0.04988
18,Random Forest,4-day,2025-04-09 01:00:00+00:00,4.96,4.96,0.0,0,0.02364
19,Oxygent,4-day,2025-04-09 01:00:00+00:00,6.51,4.96,1.56,0,0.13185
20,Naive,4-day,2025-04-09 01:00:00+00:00,4.96,4.96,0.0,4,0.03168
21,Random Forest,4-day,2025-04-13 01:00:00+00:00,5.85,4.73,1.12,3,0.01979
22,Oxygent,4-day,2025-04-13 01:00:00+00:00,5.85,4.73,1.12,0,0.25511
23,Naive,4-day,2025-04-13 01:00:00+00:00,4.73,4.73,0.0,4,0.03245
24,Random Forest,4-day,2025-04-17 01:00:00+00:00,6.68,5.21,1.47,0,0.03643
25,Oxygent,4-day,2025-04-17 01:00:00+00:00,7.28,5.21,2.07,0,0.16871
26,Naive,4-day,2025-04-17 01:00:00+00:00,5.21,5.21,0.0,4,0.01521
