validfrom (UTC),validto (UTC),point,type,granularity,timezone,activity,classification,capacity (kW),volume (kWh),percentage,emission (kg CO2),emissionfactor (kg CO2/kWh)
12/31/23 23:00,1/1/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12235880,12235880,0.385399014,903713,0.073857874
1/1/24 0:00,1/1/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12369942,12369942,0.389616489,903172,0.073013522
1/1/24 1:00,1/1/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12380739,12380739,0.389951497,906582,0.073224798
1/1/24 2:00,1/1/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12461369,12461369,0.392486006,903571,0.072509974
1/1/24 3:00,1/1/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12446451,12446451,0.392011255,892445,0.071702354
1/1/24 4:00,1/1/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12448166,12448166,0.392060012,913514,0.073385328
1/1/24 5:00,1/1/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12135273,12135273,0.382200509,918464,0.075697623
1/1/24 6:00,1/1/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12185027,12185027,0.383762509,963555,0.079074726
1/1/24 7:00,1/1/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12343846,12343846,0.388759494,967539,0.078387327
1/1/24 8:00,1/1/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12572124,12572124,0.395943493,980802,0.078018896
1/1/24 9:00,1/1/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13254772,13254772,0.417437494,1010230,0.076226801
1/1/24 10:00,1/1/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14227858,14227858,0.448077261,995126,0.0699891
1/1/24 11:00,1/1/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14775979,14775979,0.465333492,971543,0.065751672
1/1/24 12:00,1/1/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15338913,15338913,0.483054996,972892,0.063430347
1/1/24 13:00,1/1/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15084424,15084424,0.475034744,979428,0.064942598
1/1/24 14:00,1/1/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13991860,13991860,0.44062224,1019177,0.073058926
1/1/24 15:00,1/1/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11440901,11440901,0.360284507,1096512,0.096202597
1/1/24 16:00,1/1/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10816787,10816787,0.34062624,1293570,0.119592749
1/1/24 17:00,1/1/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10250338,10250338,0.322784007,1165094,0.113654003
1/1/24 18:00,1/1/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9508416,9508416,0.299416989,1098126,0.11552275
1/1/24 19:00,1/1/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9056135,9056135,0.285171002,1125646,0.124294251
1/1/24 20:00,1/1/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9416847,9416847,0.296526253,1028041,0.10917075
1/1/24 21:00,1/1/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9058466,9058466,0.285237014,945628,0.104387
1/1/24 22:00,1/1/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9188659,9188659,0.289332986,920389,0.100178972
1/1/24 23:00,1/2/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9052560,9052560,0.285043746,890959,0.098419823
1/2/24 0:00,1/2/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9265110,9265110,0.291732758,863712,0.093264073
1/2/24 1:00,1/2/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10232659,10232659,0.32219401,889508,0.086950347
1/2/24 2:00,1/2/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10718119,10718119,0.337475002,894235,0.083432928
1/2/24 3:00,1/2/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11184146,11184146,0.352144241,915839,0.081891596
1/2/24 4:00,1/2/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11776807,11776807,0.370799989,1007657,0.085551202
1/2/24 5:00,1/2/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11514421,11514421,0.362533748,1068170,0.092769772
1/2/24 6:00,1/2/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12232606,12232606,0.385140985,1151476,0.094134197
1/2/24 7:00,1/2/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12303163,12303163,0.387357503,1234889,0.1003723
1/2/24 8:00,1/2/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12159661,12159661,0.382834494,1257697,0.103421248
1/2/24 9:00,1/2/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11918911,11918911,0.375250012,1277840,0.107244499
1/2/24 10:00,1/2/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11988226,11988226,0.37742725,1377119,0.114870749
1/2/24 11:00,1/2/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12080941,12080941,0.380341262,1543576,0.127783254
1/2/24 12:00,1/2/24 13:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11641310,11641310,0.366495758,1676096,0.144060001
1/2/24 13:00,1/2/24 14:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11397590,11397590,0.358818263,1652580,0.145006493
1/2/24 14:00,1/2/24 15:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11312682,11312682,0.356140763,1651710,0.146020502
1/2/24 15:00,1/2/24 16:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11724500,11724500,0.369100243,1647430,0.140575007
1/2/24 16:00,1/2/24 17:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12036069,12036069,0.378903747,1663310,0.138197497
1/2/24 17:00,1/2/24 18:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12330235,12330235,0.388159513,1542651,0.125106007
1/2/24 18:00,1/2/24 19:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10465917,10465917,0.329465985,1298866,0.124601498
1/2/24 19:00,1/2/24 20:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9832611,9832611,0.30952549,1325437,0.134779006
1/2/24 20:00,1/2/24 21:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9833708,9833708,0.309556246,1250814,0.127193749
1/2/24 21:00,1/2/24 22:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9880237,9880237,0.311016738,1245771,0.126089752
1/2/24 22:00,1/2/24 23:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10046996,10046996,0.316262007,1236341,0.123037748
1/2/24 23:00,1/3/24 0:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,8910095,8910095,0.280470759,1009079,0.113234252
1/3/24 0:00,1/3/24 1:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,8557194,8557194,0.269358486,973278,0.113734752
1/3/24 1:00,1/3/24 2:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,9307598,9307598,0.292975485,905007,0.097745351
1/3/24 2:00,1/3/24 3:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,10899389,10899389,0.343075991,899792,0.082602151
1/3/24 3:00,1/3/24 4:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11008402,11008402,0.346502751,907835,0.082466848
1/3/24 4:00,1/3/24 5:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,11399496,11399496,0.358808488,931757,0.081793353
1/3/24 5:00,1/3/24 6:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,12662140,12662140,0.39854601,1020652,0.080596074
1/3/24 6:00,1/3/24 7:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13124835,13124835,0.413103998,1118323,0.085205473
1/3/24 7:00,1/3/24 8:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13384652,13384652,0.42127651,1244534,0.092979148
1/3/24 8:00,1/3/24 9:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,13581465,13581465,0.427465737,1266416,0.093246303
1/3/24 9:00,1/3/24 10:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,14310265,14310265,0.450397998,1295045,0.090549096
1/3/24 10:00,1/3/24 11:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15614083,15614083,0.491427749,1314788,0.084206924
1/3/24 11:00,1/3/24 12:00,Nederland,ElectricityMix,Hour,UTC,Providing,Current,15945254,15945254,0.501844227,1279622,0.080253728
