date,temperature_2m,cloud_cover,wind_speed_10m,diffuse_radiation,direct_normal_irradiance,shortwave_radiation,location,fetch_timestamp_utc
2025-03-04 00:00:00+00:00,0.9045,100.0,7.5599995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 01:00:00+00:00,0.80450004,100.0,7.2,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 02:00:00+00:00,1.1044999,98.0,7.5599995,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 03:00:00+00:00,1.1545,100.0,6.8399997,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 04:00:00+00:00,0.0545,100.0,11.159999,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 05:00:00+00:00,0.8545,77.0,8.64,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 06:00:00+00:00,0.8545,100.0,13.32,0.0,0.0,0.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 07:00:00+00:00,0.9545,100.0,10.08,15.707742,14.752234,17.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 08:00:00+00:00,2.8545,5.0,11.159999,69.03413,143.52597,94.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 09:00:00+00:00,4.6045003,4.0,12.959999,114.62931,479.4808,260.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 10:00:00+00:00,5.9545,10.0,11.5199995,136.67612,528.1527,351.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 11:00:00+00:00,8.054501,22.0,12.24,145.26219,614.42773,437.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 12:00:00+00:00,9.6545,0.0,13.32,156.88214,562.01904,441.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 13:00:00+00:00,10.5045,0.0,15.119999,144.35382,674.86194,479.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 14:00:00+00:00,11.554501,85.0,15.119999,138.82573,634.19183,422.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 15:00:00+00:00,11.0045,0.0,12.959999,130.78996,416.2976,281.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 16:00:00+00:00,10.0045,1.0,12.959999,99.46283,415.00903,201.0,Eelde,2025-03-11 18:01:16.673194
2025-03-04 17:00:00+00:00,9.3545,0.0,10.440001,48.882973,191.12907,73.0,Eelde,2025-03-11 18:01:16.673194
