date,temperature_2m,relative_humidity_2m,precipitation,rain,snowfall,cloud_cover,visibility,wind_speed_10m,wind_speed_80m,wind_speed_120m,wind_speed_180m,wind_gusts_10m,soil_temperature_0cm,soil_temperature_6cm,soil_moisture_0_to_1cm,soil_moisture_1_to_3cm,soil_moisture_3_to_9cm,soil_moisture_9_to_27cm,direct_radiation
2025-03-06 22:00:00+00:00,6.4675,83.0,0.0,0.0,0.0,7.0,12300.0,10.799999,38.948227,40.786545,44.145462,14.04,3.95,5.787,0.15,0.151,0.155,0.164,0.0
2025-03-06 23:00:00+00:00,6.4675,83.0,0.0,0.0,0.0,2.0,50000.0,11.879999,41.755302,43.726116,43.78945,16.56,3.7,5.437,0.151,0.152,0.155,0.164,0.0
2025-03-07 00:00:00+00:00,6.5175004,82.0,0.0,0.0,0.0,0.0,50000.0,11.5199995,38.246456,40.05165,40.229332,17.64,3.45,5.637,0.151,0.152,0.155,0.164,0.0
2025-03-07 01:00:00+00:00,5.2675004,84.0,0.0,0.0,0.0,0.0,50000.0,7.92,36.84292,38.581867,41.65338,12.24,3.05,5.337,0.151,0.152,0.155,0.163,0.0
2025-03-07 02:00:00+00:00,5.6175003,88.0,0.0,0.0,0.0,11.0,9920.0,11.159999,41.053535,42.991226,44.501476,16.199999,2.65,5.087,0.151,0.152,0.155,0.163,0.0
2025-03-07 03:00:00+00:00,5.0675,89.0,0.0,0.0,0.0,7.0,50000.0,9.36,36.84292,38.581867,43.433437,11.879999,2.3,4.687,0.149,0.15,0.152,0.162,0.0
2025-03-07 04:00:00+00:00,4.9175,90.0,0.0,0.0,0.0,0.0,50000.0,9.36,39.29911,41.15399,40.585346,14.4,1.75,4.537,0.149,0.15,0.152,0.162,0.0
2025-03-07 05:00:00+00:00,4.7675004,91.0,0.0,0.0,0.0,2.0,50000.0,9.0,37.895573,39.684208,38.805286,16.199999,1.25,4.437,0.149,0.15,0.153,0.162,0.0
2025-03-07 06:00:00+00:00,4.7675004,91.0,0.0,0.0,0.0,68.0,8020.0,9.0,36.84292,38.581867,32.397076,13.679999,1.8,4.287,0.149,0.15,0.153,0.162,0.0
2025-03-07 07:00:00+00:00,5.2675004,90.0,0.0,0.0,0.0,85.0,50000.0,8.64,35.439377,37.112083,36.669216,15.119999,4.25,4.187,0.15,0.15,0.153,0.162,3.8423557
2025-03-07 08:00:00+00:00,7.1175003,85.0,0.0,0.0,0.0,28.0,50000.0,7.92,28.772562,30.130602,38.449272,14.04,7.75,4.837,0.149,0.15,0.153,0.161,56.82876
2025-03-07 09:00:00+00:00,9.6675,78.0,0.0,0.0,0.0,0.0,14980.0,10.440001,21.40398,22.414227,30.973026,20.519999,10.95,6.137,0.149,0.15,0.153,0.161,159.98817
2025-03-07 10:00:00+00:00,12.1675,74.0,0.0,0.0,0.0,0.0,17140.0,9.72,16.842476,17.637426,21.360708,20.519999,13.5,7.937,0.147,0.149,0.153,0.161,257.8103
2025-03-07 11:00:00+00:00,14.0675,69.0,0.0,0.0,0.0,0.0,19860.0,10.440001,17.193361,18.004871,19.93666,22.319998,15.75,9.687,0.146,0.148,0.153,0.161,340.81512
2025-03-07 12:00:00+00:00,15.2175,66.0,0.0,0.0,0.0,0.0,21140.0,11.159999,17.89513,18.739763,19.93666,23.039999,17.2,11.187,0.144,0.147,0.152,0.161,376.98413
2025-03-07 13:00:00+00:00,16.2175,65.0,0.0,0.0,0.0,1.0,22060.0,8.28,12.982742,13.595515,14.952496,23.4,17.75,12.337001,0.143,0.146,0.152,0.161,369.72797
2025-03-07 14:00:00+00:00,16.2175,64.0,0.0,0.0,0.0,19.0,50000.0,11.879999,19.649555,20.576996,22.784756,24.48,17.55,13.087001,0.141,0.145,0.151,0.161,297.15912
2025-03-07 15:00:00+00:00,16.417501,65.0,0.0,0.0,0.0,75.0,21940.0,7.92,12.982742,13.595515,16.02053,24.48,16.4,13.337001,0.141,0.144,0.151,0.161,205.96423
2025-03-07 16:00:00+00:00,16.317501,69.0,0.0,0.0,0.0,98.0,19740.0,7.2,13.684512,14.330408,18.1566,16.56,13.75,13.037001,0.141,0.144,0.15,0.16,97.26062
2025-03-07 17:00:00+00:00,15.367499,74.0,0.0,0.0,0.0,52.0,17400.0,6.12,15.438937,16.167639,22.072731,12.959999,10.2,12.287001,0.141,0.144,0.15,0.16,23.43232
2025-03-07 18:00:00+00:00,13.0175,79.0,0.0,0.0,0.0,38.0,14340.0,7.92,23.158405,24.25146,26.344873,10.440001,7.35,10.987,0.143,0.144,0.15,0.16,-0.009282589
2025-03-07 19:00:00+00:00,11.4675,68.0,0.0,0.0,0.0,9.0,50000.0,10.799999,34.386723,36.009743,38.449272,16.199999,5.9,9.787001,0.144,0.145,0.15,0.16,0.0
2025-03-07 20:00:00+00:00,9.867499,65.0,0.0,0.0,0.0,0.0,21780.0,6.8399997,30.526989,31.96783,32.04106,16.199999,5.1,8.737,0.145,0.145,0.149,0.16,0.0
2025-03-07 21:00:00+00:00,8.117499,73.0,0.0,0.0,0.0,0.0,17860.0,7.5599995,33.33407,34.907406,36.669216,9.36,4.45,7.887,0.145,0.146,0.149,0.16,0.0
2025-03-07 22:00:00+00:00,7.2175,76.0,0.0,0.0,0.0,0.0,16120.0,7.92,34.386723,36.009743,33.82112,10.440001,3.75,7.137,0.146,0.146,0.15,0.16,0.0
2025-03-07 23:00:00+00:00,6.3675003,79.0,0.0,0.0,0.0,0.0,50000.0,6.4799995,35.79026,37.479527,34.177135,10.440001,3.15,6.637,0.146,0.147,0.15,0.16,0.0
2025-03-08 00:00:00+00:00,5.2175,81.0,0.0,0.0,0.0,1.0,50000.0,5.7599998,32.98318,34.53996,29.548983,7.92,2.75,6.187,0.146,0.147,0.15,0.16,0.0
2025-03-08 01:00:00+00:00,4.6675,81.0,0.0,0.0,0.0,10.0,50000.0,7.2,28.772562,30.130602,26.344873,9.72,2.65,5.837,0.147,0.147,0.15,0.16,0.0
2025-03-08 02:00:00+00:00,4.2675004,81.0,0.0,0.0,0.0,32.0,13660.0,6.12,22.105751,23.149122,24.564814,9.36,2.8,5.537,0.147,0.147,0.15,0.159,0.0
2025-03-08 03:00:00+00:00,4.4675,81.0,0.0,0.0,0.0,100.0,50000.0,6.8399997,24.21106,25.3538,19.580648,11.879999,2.85,5.187,0.147,0.148,0.15,0.159,0.0
2025-03-08 04:00:00+00:00,4.4675,82.0,0.0,0.0,0.0,94.0,13100.0,6.4799995,24.912828,26.088692,24.208803,9.0,2.45,4.887,0.147,0.148,0.15,0.159,0.0
2025-03-08 05:00:00+00:00,4.2175,84.0,0.0,0.0,0.0,11.0,50000.0,7.5599995,28.772562,30.130602,28.124933,10.440001,2.05,4.587,0.147,0.148,0.15,0.159,0.0
2025-03-08 06:00:00+00:00,3.8174999,86.0,0.0,0.0,0.0,6.0,50000.0,6.8399997,31.579643,33.07017,29.192966,10.799999,2.6,4.337,0.148,0.148,0.151,0.159,0.0
