x,y,timestamp,subarray
17410428,0.12129,2025-03-05T12:00:13.856343+00:00,0
17410464,0.10976,2025-03-05T12:00:13.856343+00:00,0
17410500,0.10399,2025-03-05T12:00:13.856343+00:00,0
17410536,0.10495,2025-03-05T12:00:13.856343+00:00,0
17410572,0.10062,2025-03-05T12:00:13.856343+00:00,0
17410608,0.11039,2025-03-05T12:00:13.856343+00:00,0
17410644,0.13811,2025-03-05T12:00:13.856343+00:00,0
17410680,0.16962,2025-03-05T12:00:13.856343+00:00,0
17410716,0.14195,2025-03-05T12:00:13.856343+00:00,0
17410752,0.122,2025-03-05T12:00:13.856343+00:00,0
17410788,0.08997,2025-03-05T12:00:13.856343+00:00,0
17410824,0.03,2025-03-05T12:00:13.856343+00:00,0
17410860,-0.003,2025-03-05T12:00:13.856343+00:00,0
17410896,0.00404,2025-03-05T12:00:13.856343+00:00,0
17410932,0.05178,2025-03-05T12:00:13.856343+00:00,0
17410968,0.08152,2025-03-05T12:00:13.856343+00:00,0
17411004,0.109,2025-03-05T12:00:13.856343+00:00,0
17411040,0.14258,2025-03-05T12:00:13.856343+00:00,0
17411076,0.17393,2025-03-05T12:00:13.856343+00:00,0
17411112,0.16395,2025-03-05T12:00:13.856343+00:00,0
17411148,0.1334,2025-03-05T12:00:13.856343+00:00,0
17411184,0.11485,2025-03-05T12:00:13.856343+00:00,0
17411220,0.11429,2025-03-05T12:00:13.856343+00:00,0
17411256,0.10729,2025-03-05T12:00:13.856343+00:00,0
17411292,0.092,2025-03-05T12:00:13.856343+00:00,0
17411328,0.0929,2025-03-05T12:00:13.856343+00:00,0
17411364,0.0846,2025-03-05T12:00:13.856343+00:00,0
17411400,0.08032,2025-03-05T12:00:13.856343+00:00,0
17411436,0.08223,2025-03-05T12:00:13.856343+00:00,0
17411472,0.09237,2025-03-05T12:00:13.856343+00:00,0
17411508,0.11608,2025-03-05T12:00:13.856343+00:00,0
17411544,0.14049,2025-03-05T12:00:13.856343+00:00,0
17411580,0.14152,2025-03-05T12:00:13.856343+00:00,0
17411616,0.04423,2025-03-05T12:00:13.856343+00:00,0
17411652,-0.00624,2025-03-05T12:00:13.856343+00:00,0
17411688,-0.011,2025-03-05T12:00:13.856343+00:00,0
17411724,-0.02035,2025-03-05T12:00:13.856343+00:00,0
